Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
21,Ollie Lord,Port Adelaide,5.0,4.0,1.0,0.8,0.2,3.0,2.0,1.0,Key Forward
21,Ollie Wines,Port Adelaide,32.0,11.0,21.0,0.34,0.66,4.0,0.0,8.0,Midfielder
21,Travis Boak,Port Adelaide,24.0,7.0,17.0,0.29,0.71,4.0,1.0,5.0,Mid-Forward
21,Will Lorenz,Port Adelaide,16.0,9.0,7.0,0.56,0.44,4.0,1.0,3.0,Midfielder
21,Willem Drew,Port Adelaide,24.0,15.0,9.0,0.62,0.38,5.0,0.0,10.0,Midfielder
21,Zak Butters,Port Adelaide,10.0,4.0,6.0,0.4,0.6,0.0,0.0,2.0,Midfielder
22,Aliir Aliir,Port Adelaide,22.0,18.0,4.0,0.82,0.18,17.0,1.0,1.0,Key Defender
22,Brandon Zerk-Thatcher,Port Adelaide,11.0,10.0,1.0,0.91,0.09,6.0,0.0,1.0,Key Defender
22,Christian Moraes,Port Adelaide,,,,,,,,,Midfielder
22,Connor Rozee,Port Adelaide,19.0,10.0,9.0,0.53,0.47,7.0,2.0,6.0,Gen. Defender
22,Darcy Byrne-Jones,Port Adelaide,19.0,12.0,7.0,0.63,0.37,7.0,0.0,3.0,Gen. Forward
22,Jack Lukosius,Port Adelaide,,,,,,,,,Key Forward
22,Jack Whitlock,Port Adelaide,7.0,3.0,4.0,0.43,0.57,1.0,0.0,3.0,Key Forward
22,Jackson Mead,Port Adelaide,14.0,7.0,7.0,0.5,0.5,2.0,0.0,2.0,Midfielder
22,Jed McEntee,Port Adelaide,12.0,7.0,5.0,0.58,0.42,1.0,2.0,4.0,Gen. Forward
22,Joe Berry,Port Adelaide,13.0,7.0,6.0,0.54,0.46,3.0,1.0,5.0,Gen. Forward
22,Joe Richards,Port Adelaide,13.0,10.0,3.0,0.77,0.23,2.0,1.0,1.0,Gen. Forward
22,Jordon Sweet,Port Adelaide,14.0,6.0,8.0,0.43,0.57,1.0,0.0,0.0,Ruck
22,Josh Sinn,Port Adelaide,17.0,12.0,5.0,0.71,0.29,3.0,0.0,2.0,Gen. Defender
22,Kane Farrell,Port Adelaide,25.0,21.0,4.0,0.84,0.16,7.0,0.0,3.0,Gen. Defender
22,Mani Liddy,Port Adelaide,16.0,12.0,4.0,0.75,0.25,4.0,0.0,2.0,Midfielder
22,Mitch Georgiades,Port Adelaide,12.0,10.0,2.0,0.83,0.17,9.0,2.0,0.0,Key Forward
22,Ollie Lord,Port Adelaide,6.0,3.0,3.0,0.5,0.5,5.0,0.0,0.0,Key Forward
22,Ollie Wines,Port Adelaide,25.0,10.0,15.0,0.4,0.6,3.0,0.0,4.0,Midfielder
22,Travis Boak,Port Adelaide,22.0,11.0,11.0,0.5,0.5,10.0,0.0,5.0,Mid-Forward
22,Will Lorenz,Port Adelaide,20.0,11.0,9.0,0.55,0.45,4.0,0.0,0.0,Midfielder
22,Willem Drew,Port Adelaide,17.0,6.0,11.0,0.35,0.65,2.0,0.0,6.0,Midfielder
22,Willie Rioli,Port Adelaide,8.0,6.0,2.0,0.75,0.25,0.0,2.0,3.0,Gen. Forward
22,Zak Butters,Port Adelaide,29.0,20.0,9.0,0.69,0.31,8.0,0.0,4.0,Midfielder
23,Aliir Aliir,Port Adelaide,15.0,11.0,4.0,0.73,0.27,6.0,0.0,2.0,Key Defender
23,Brandon Zerk-Thatcher,Port Adelaide,12.0,7.0,5.0,0.58,0.42,5.0,0.0,2.0,Key Defender
23,Christian Moraes,Port Adelaide,,,,,,,,,Midfielder
23,Connor Rozee,Port Adelaide,22.0,12.0,10.0,0.55,0.45,1.0,0.0,1.0,Gen. Defender
23,Darcy Byrne-Jones,Port Adelaide,11.0,8.0,3.0,0.73,0.27,2.0,1.0,5.0,Gen. Forward
23,Jack Whitlock,Port Adelaide,8.0,5.0,3.0,0.62,0.38,5.0,3.0,1.0,Key Forward
23,Jackson Mead,Port Adelaide,10.0,5.0,5.0,0.5,0.5,0.0,0.0,3.0,Midfielder
23,Jed McEntee,Port Adelaide,7.0,5.0,2.0,0.71,0.29,1.0,0.0,1.0,Gen. Forward
23,Joe Berry,Port Adelaide,9.0,5.0,4.0,0.56,0.44,3.0,0.0,3.0,Gen. Forward
23,Joe Richards,Port Adelaide,13.0,9.0,4.0,0.69,0.31,4.0,1.0,0.0,Gen. Forward
23,Jordon Sweet,Port Adelaide,18.0,8.0,10.0,0.44,0.56,6.0,0.0,1.0,Ruck
23,Josh Sinn,Port Adelaide,,,,,,,,,Gen. Defender
23,Kane Farrell,Port Adelaide,17.0,14.0,3.0,0.82,0.18,5.0,0.0,3.0,Gen. Defender
23,Lachie Jones,Port Adelaide,14.0,10.0,4.0,0.71,0.29,4.0,0.0,4.0,Gen. Defender
23,Mani Liddy,Port Adelaide,16.0,8.0,8.0,0.5,0.5,6.0,0.0,2.0,Midfielder
23,Mitch Georgiades,Port Adelaide,10.0,5.0,5.0,0.5,0.5,5.0,1.0,0.0,Key Forward
23,Ollie Lord,Port Adelaide,5.0,2.0,3.0,0.4,0.6,2.0,1.0,0.0,Key Forward
23,Ollie Wines,Port Adelaide,15.0,9.0,6.0,0.6,0.4,9.0,0.0,3.0,Midfielder
23,Travis Boak,Port Adelaide,22.0,14.0,8.0,0.64,0.36,5.0,1.0,4.0,Mid-Forward
23,Will Lorenz,Port Adelaide,7.0,5.0,2.0,0.71,0.29,0.0,0.0,4.0,Midfielder
23,Willem Drew,Port Adelaide,20.0,6.0,14.0,0.3,0.7,1.0,0.0,4.0,Midfielder
23,Willie Rioli,Port Adelaide,4.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,Gen. Forward
23,Zak Butters,Port Adelaide,29.0,11.0,18.0,0.38,0.62,1.0,0.0,7.0,Midfielder
24,Aliir Aliir,Port Adelaide,11.0,11.0,0.0,1.0,0.0,6.0,0.0,0.0,Key Defender
24,Brandon Zerk-Thatcher,Port Adelaide,14.0,11.0,3.0,0.79,0.21,5.0,0.0,0.0,Key Defender
24,Christian Moraes,Port Adelaide,12.0,4.0,8.0,0.33,0.67,2.0,0.0,3.0,Midfielder
24,Connor Rozee,Port Adelaide,34.0,26.0,8.0,0.76,0.24,5.0,1.0,7.0,Gen. Defender
24,Darcy Byrne-Jones,Port Adelaide,18.0,10.0,8.0,0.56,0.44,5.0,0.0,1.0,Gen. Forward
24,Ewan Mackinlay,Port Adelaide,15.0,12.0,3.0,0.8,0.2,4.0,1.0,4.0,Mid-Forward
24,Harrison Ramm,Port Adelaide,5.0,5.0,0.0,1.0,0.0,4.0,0.0,2.0,Key Defender
24,Jack Whitlock,Port Adelaide,8.0,3.0,5.0,0.38,0.62,2.0,1.0,5.0,Key Forward
24,Jackson Mead,Port Adelaide,,,,,,,,,Midfielder
24,Jed McEntee,Port Adelaide,10.0,6.0,4.0,0.6,0.4,1.0,0.0,4.0,Gen. Forward
24,Joe Berry,Port Adelaide,14.0,7.0,7.0,0.5,0.5,3.0,0.0,0.0,Gen. Forward
24,Joe Richards,Port Adelaide,14.0,8.0,6.0,0.57,0.43,1.0,1.0,0.0,Gen. Forward
24,Jordon Sweet,Port Adelaide,9.0,3.0,6.0,0.33,0.67,2.0,0.0,3.0,Ruck
24,Kane Farrell,Port Adelaide,21.0,20.0,1.0,0.95,0.05,3.0,0.0,2.0,Gen. Defender
24,Lachie Jones,Port Adelaide,17.0,9.0,8.0,0.53,0.47,5.0,0.0,1.0,Gen. Defender
24,Mani Liddy,Port Adelaide,17.0,9.0,8.0,0.53,0.47,5.0,1.0,1.0,Midfielder
24,Mitch Georgiades,Port Adelaide,15.0,9.0,6.0,0.6,0.4,6.0,4.0,2.0,Key Forward
24,Ollie Lord,Port Adelaide,3.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,Key Forward
24,Rory Atkins,Port Adelaide,,,,,,,,,Gen. Defender
24,Travis Boak,Port Adelaide,22.0,10.0,12.0,0.45,0.55,3.0,0.0,9.0,Mid-Forward
24,Willem Drew,Port Adelaide,21.0,12.0,9.0,0.57,0.43,3.0,0.0,1.0,Midfielder
24,Willie Rioli,Port Adelaide,11.0,6.0,5.0,0.55,0.45,1.0,0.0,2.0,Gen. Forward
24,Zak Butters,Port Adelaide,35.0,19.0,16.0,0.54,0.46,8.0,0.0,8.0,Midfielder
