Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
10,Willem Drew,Port Adelaide,Midfielder,20251004,0,9.4,10.31,74,58,0.0,0,84,8,12,20,85.0,251,2,7,4,1,1,2,60,5,4,0,0,0,0,0,0,6,0,24,0
10,Sam Powell-Pepper,Port Adelaide,Gen. Forward,20251004,0,9.3,8.02,89,86,0.01,0,87,12,11,23,56.5,484,6,5,4,4,3,3,16,0,3,0,0,4,2,2,0,6,2,11,0
10,Connor Rozee,Port Adelaide,Gen. Defender,20251004,0,8.9,12.93,91,109,0.02,0,85,22,10,32,53.1,471,4,9,8,5,4,5,28,2,7,3,1,0,0,0,0,3,2,20,0
10,Dante Visentini,Port Adelaide,Ruck,20251004,0,8.8,9.05,84,91,0.0,0,86,5,6,11,72.7,75,0,5,1,1,1,0,92,3,2,0,0,0,0,0,0,1,6,15,33
10,Joe Richards,Port Adelaide,Gen. Forward,20251004,0,8.4,8.93,72,55,0.0,0,82,6,6,12,75.0,123,1,6,4,5,3,1,4,1,4,0,1,1,1,0,0,4,3,11,0
10,Logan Evans,Port Adelaide,Gen. Defender,20251004,0,8.4,7.03,74,67,0.0,0,74,7,13,20,90.0,162,1,3,3,1,1,1,0,1,4,1,0,0,0,0,0,4,2,13,0
10,Willie Rioli,Port Adelaide,Gen. Forward,20251004,0,8.0,8.44,75,68,0.0,0,95,9,6,15,60.0,220,2,8,5,6,4,0,8,1,2,0,0,2,0,1,1,4,5,13,0
10,Darcy Byrne-Jones,Port Adelaide,Gen. Forward,20251004,0,7.9,8.2,68,56,0.0,0,85,10,1,11,81.8,292,4,3,1,1,0,1,0,3,5,1,0,2,1,1,0,4,1,17,0
10,Jackson Mead,Port Adelaide,Midfielder,20251004,0,6.2,8.98,67,66,0.0,0,84,10,10,20,80.0,272,0,5,3,2,2,1,4,2,4,0,0,0,0,0,0,3,2,15,0
10,Miles Bergman,Port Adelaide,Gen. Defender,20251004,0,5.2,8.86,66,79,0.0,0,92,14,5,19,57.9,557,5,2,1,1,1,1,36,1,6,0,0,0,0,0,0,4,2,14,0
10,Lachie Jones,Port Adelaide,Gen. Defender,20251004,0,4.5,8.59,38,24,0.0,0,40,4,3,7,57.1,146,0,6,2,5,1,7,0,0,2,2,1,0,0,0,0,1,0,5,0
10,Christian Moraes,Port Adelaide,Midfielder,20251004,0,4.2,2.82,68,68,0.0,0,87,8,10,18,83.3,152,1,3,2,2,2,2,0,1,5,0,0,0,0,0,1,2,2,12,0
10,Ollie Wines,Port Adelaide,Midfielder,20251004,0,3.4,9.91,84,127,0.01,0,82,13,15,28,78.6,373,4,6,2,1,0,1,56,5,11,0,0,0,0,0,0,3,6,26,0
10,Ollie Lord,Port Adelaide,Key Forward,20251004,0,3.0,5.23,37,23,0.0,0,82,1,4,5,80.0,-24,1,3,3,3,3,1,4,0,2,0,0,0,0,0,0,0,2,4,1
10,Jason Horne-Francis,Port Adelaide,Midfielder,20251004,0,2.5,12.13,22,11,0.0,0,12,1,2,3,100.0,-13,0,2,2,2,2,1,8,0,0,0,0,0,0,0,0,0,1,4,0
10,Jeremy Finlayson,Port Adelaide,Key Forward,20251004,0,2.4,7.39,38,28,0.0,0,91,4,2,6,66.7,170,3,2,1,2,1,1,4,0,2,0,0,1,0,1,0,1,1,7,3
10,Mitch Georgiades,Port Adelaide,Key Forward,20251004,0,0.6,7.39,56,70,0.0,0,96,10,4,14,42.9,210,3,6,2,6,2,0,0,0,5,0,1,4,1,3,0,5,2,9,0
10,Josh Sinn,Port Adelaide,Gen. Defender,20251004,0,-0.4,6.19,1,1,0.0,0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
11,Zak Butters,Port Adelaide,Midfielder,20251106,0,18.7,15.82,100,85,0.06,1,81,13,11,24,62.5,452,5,15,9,3,2,3,68,9,1,0,0,1,0,1,0,5,6,28,0
11,Willem Drew,Port Adelaide,Midfielder,20251106,0,16.2,10.95,121,102,0.01,0,79,12,11,23,65.2,385,5,10,7,2,2,2,64,6,2,0,0,0,0,0,0,3,10,33,0
11,Connor Rozee,Port Adelaide,Gen. Defender,20251106,0,13.5,12.68,95,105,0.01,0,92,17,10,27,66.7,496,3,7,6,6,6,6,0,1,3,0,0,0,0,0,0,4,6,19,0
11,Aliir Aliir,Port Adelaide,Key Defender,20251106,0,13.2,9.61,85,70,0.0,0,93,8,4,12,83.3,49,0,4,2,4,2,6,0,0,7,3,1,0,0,0,0,2,4,7,0
11,Willie Rioli,Port Adelaide,Gen. Forward,20251106,0,13.1,8.63,55,54,0.0,0,84,8,1,9,66.7,200,2,3,3,3,3,1,0,0,2,0,0,2,2,0,1,3,4,11,0
11,Rory Atkins,Port Adelaide,Gen. Defender,20251106,0,12.6,8.42,104,89,0.0,0,90,16,9,25,80.0,540,3,6,6,6,6,9,0,0,7,1,0,1,0,0,0,3,1,7,0
11,Dante Visentini,Port Adelaide,Ruck,20251106,0,11.5,9.02,66,68,0.0,0,81,3,11,14,42.9,78,0,9,7,3,3,2,84,3,1,0,0,0,0,0,0,2,1,18,36
11,Brandon Zerk-Thatcher,Port Adelaide,Key Defender,20251106,0,10.2,8.14,93,64,0.0,0,86,10,3,13,92.3,125,1,4,3,4,3,5,0,0,8,1,0,0,0,0,0,3,1,5,0
11,Miles Bergman,Port Adelaide,Gen. Defender,20251106,0,9.8,8.72,104,88,0.0,0,86,13,10,23,78.3,548,7,8,7,6,6,5,56,2,6,0,0,1,1,0,1,7,2,24,0
11,Ollie Wines,Port Adelaide,Midfielder,20251106,0,8.5,9.66,100,111,0.09,1,70,12,21,33,51.5,410,4,14,11,3,2,1,76,7,0,0,0,0,0,0,1,3,8,18,0
11,Mitch Georgiades,Port Adelaide,Key Forward,20251106,0,8.3,7.27,59,51,0.0,0,83,6,2,8,50.0,157,2,4,1,4,1,0,0,0,3,0,1,3,3,0,0,3,0,7,0
11,Ryan Burton,Port Adelaide,Gen. Defender,20251106,0,8.2,8.99,54,53,0.0,0,72,14,4,18,66.7,363,2,3,3,2,2,5,0,0,3,1,0,1,0,0,0,2,0,3,0
11,Travis Boak,Port Adelaide,Mid-Forward,20251106,0,6.2,8.88,59,58,0.0,0,82,9,12,21,71.4,173,4,7,4,4,4,3,8,3,1,0,0,1,0,0,0,1,1,13,0
11,Logan Evans,Port Adelaide,Gen. Defender,20251106,0,5.8,7.6,82,86,0.0,0,82,10,11,21,71.4,209,0,5,3,5,3,4,0,0,4,1,0,0,0,0,0,4,5,7,0
11,Hugh Jackson,Port Adelaide,Mid-Forward,20251106,0,5.4,2.41,23,26,0.0,0,43,2,6,8,87.5,133,0,3,3,0,0,0,12,2,1,0,0,1,0,1,0,3,1,6,0
11,Jeremy Finlayson,Port Adelaide,Key Forward,20251106,0,3.8,7.23,48,44,0.0,0,74,6,5,11,54.5,134,1,6,3,2,2,1,16,4,1,0,0,4,1,2,0,3,1,4,4
11,Darcy Byrne-Jones,Port Adelaide,Gen. Forward,20251106,0,3.7,8.25,35,31,0.0,0,39,6,3,9,33.3,234,2,7,6,6,5,1,0,1,2,0,0,2,0,0,0,3,0,12,0
