Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles
11,Bailey Smith,Geelong,33.0,25.0,8.0,0.76,0.24,4.0,0.0,7.0
11,Brad Close,Geelong,8.0,5.0,3.0,0.62,0.38,1.0,0.0,3.0
11,Gryan Miers,Geelong,23.0,19.0,4.0,0.83,0.17,9.0,0.0,4.0
11,Jack Henry,Geelong,9.0,9.0,0.0,1.0,0.0,8.0,0.0,1.0
11,Jed Bews,Geelong,11.0,8.0,3.0,0.73,0.27,4.0,0.0,1.0
11,Jeremy Cameron,Geelong,14.0,13.0,1.0,0.93,0.07,8.0,6.0,2.0
11,Lawson Humphries,Geelong,19.0,16.0,3.0,0.84,0.16,6.0,0.0,3.0
11,Mark Blicavs,Geelong,11.0,2.0,9.0,0.18,0.82,6.0,1.0,4.0
11,Mark O'Connor,Geelong,17.0,9.0,8.0,0.53,0.47,8.0,0.0,4.0
11,Max Holmes,Geelong,33.0,18.0,15.0,0.55,0.45,5.0,1.0,3.0
11,Mitch Duncan,Geelong,,,,,,,,
11,Oisin Mullin,Geelong,10.0,7.0,3.0,0.7,0.3,5.0,0.0,7.0
11,Oliver Dempsey,Geelong,15.0,9.0,6.0,0.6,0.4,2.0,1.0,3.0
11,Oliver Henry,Geelong,9.0,7.0,2.0,0.78,0.22,2.0,1.0,3.0
11,Rhys Stanley,Geelong,13.0,7.0,6.0,0.54,0.46,1.0,0.0,4.0
11,Sam De Koning,Geelong,12.0,7.0,5.0,0.58,0.42,4.0,0.0,1.0
11,Shannon Neale,Geelong,16.0,10.0,6.0,0.62,0.38,3.0,5.0,1.0
11,Shaun Mannagh,Geelong,21.0,17.0,4.0,0.81,0.19,3.0,2.0,4.0
11,Ted Clohesy,Geelong,,,,,,,,
11,Tom Atkins,Geelong,16.0,11.0,5.0,0.69,0.31,2.0,1.0,12.0
11,Tom Stewart,Geelong,21.0,18.0,3.0,0.86,0.14,9.0,0.0,1.0
11,Tyson Stengle,Geelong,15.0,9.0,6.0,0.6,0.4,5.0,2.0,3.0
11,Zach Guthrie,Geelong,17.0,14.0,3.0,0.82,0.18,6.0,0.0,5.0
12,Bailey Smith,Geelong,38.0,27.0,11.0,0.71,0.29,7.0,1.0,4.0
12,Brad Close,Geelong,13.0,10.0,3.0,0.77,0.23,1.0,1.0,0.0
12,Connor O'Sullivan,Geelong,20.0,7.0,13.0,0.35,0.65,5.0,0.0,3.0
12,Gryan Miers,Geelong,26.0,21.0,5.0,0.81,0.19,13.0,2.0,3.0
12,Jack Henry,Geelong,9.0,6.0,3.0,0.67,0.33,4.0,0.0,0.0
12,Jeremy Cameron,Geelong,14.0,12.0,2.0,0.86,0.14,7.0,5.0,3.0
12,Lawson Humphries,Geelong,12.0,10.0,2.0,0.83,0.17,4.0,0.0,3.0
12,Mark Blicavs,Geelong,8.0,3.0,5.0,0.38,0.62,2.0,0.0,2.0
12,Mark O'Connor,Geelong,15.0,12.0,3.0,0.8,0.2,6.0,0.0,4.0
12,Max Holmes,Geelong,27.0,19.0,8.0,0.7,0.3,7.0,0.0,3.0
12,Mitch Duncan,Geelong,19.0,10.0,9.0,0.53,0.47,7.0,0.0,5.0
12,Oisin Mullin,Geelong,9.0,5.0,4.0,0.56,0.44,2.0,0.0,6.0
12,Oliver Dempsey,Geelong,14.0,6.0,8.0,0.43,0.57,2.0,1.0,1.0
12,Oliver Henry,Geelong,6.0,5.0,1.0,0.83,0.17,2.0,2.0,4.0
12,Rhys Stanley,Geelong,9.0,1.0,8.0,0.11,0.89,1.0,1.0,3.0
12,Sam De Koning,Geelong,12.0,8.0,4.0,0.67,0.33,3.0,0.0,1.0
12,Shannon Neale,Geelong,8.0,5.0,3.0,0.62,0.38,5.0,1.0,5.0
12,Shaun Mannagh,Geelong,18.0,16.0,2.0,0.89,0.11,8.0,1.0,0.0
12,Ted Clohesy,Geelong,,,,,,,,
12,Tom Atkins,Geelong,15.0,13.0,2.0,0.87,0.13,6.0,0.0,10.0
12,Tom Stewart,Geelong,18.0,14.0,4.0,0.78,0.22,7.0,0.0,1.0
12,Tyson Stengle,Geelong,18.0,11.0,7.0,0.61,0.39,5.0,2.0,4.0
12,Zach Guthrie,Geelong,13.0,7.0,6.0,0.54,0.46,6.0,0.0,1.0
13,Brad Close,Geelong,17.0,10.0,7.0,0.59,0.41,5.0,1.0,5.0
13,Connor O'Sullivan,Geelong,12.0,9.0,3.0,0.75,0.25,7.0,0.0,0.0
13,Gryan Miers,Geelong,26.0,21.0,5.0,0.81,0.19,5.0,1.0,3.0
13,Jack Henry,Geelong,18.0,14.0,4.0,0.78,0.22,6.0,0.0,5.0
13,Jack Martin,Geelong,,,,,,,,
13,Jeremy Cameron,Geelong,6.0,6.0,0.0,1.0,0.0,3.0,0.0,4.0
13,Lawson Humphries,Geelong,15.0,12.0,3.0,0.8,0.2,6.0,1.0,2.0
13,Mark Blicavs,Geelong,20.0,7.0,13.0,0.35,0.65,5.0,0.0,4.0
13,Mark O'Connor,Geelong,21.0,11.0,10.0,0.52,0.48,4.0,0.0,10.0
13,Max Holmes,Geelong,40.0,25.0,15.0,0.62,0.38,6.0,0.0,5.0
13,Mitch Duncan,Geelong,,,,,,,,
13,Oisin Mullin,Geelong,8.0,4.0,4.0,0.5,0.5,1.0,0.0,4.0
13,Oliver Dempsey,Geelong,14.0,6.0,8.0,0.43,0.57,1.0,1.0,4.0
13,Patrick Dangerfield,Geelong,7.0,1.0,6.0,0.14,0.86,1.0,0.0,3.0
13,Rhys Stanley,Geelong,10.0,6.0,4.0,0.6,0.4,1.0,0.0,1.0
13,Sam De Koning,Geelong,13.0,7.0,6.0,0.54,0.46,6.0,0.0,0.0
13,Shannon Neale,Geelong,,,,,,,,
13,Shaun Mannagh,Geelong,23.0,17.0,6.0,0.74,0.26,6.0,0.0,5.0
13,Ted Clohesy,Geelong,15.0,10.0,5.0,0.67,0.33,3.0,0.0,8.0
13,Tom Atkins,Geelong,23.0,9.0,14.0,0.39,0.61,4.0,1.0,7.0
13,Tom Stewart,Geelong,23.0,21.0,2.0,0.91,0.09,14.0,0.0,0.0
13,Tyson Stengle,Geelong,11.0,9.0,2.0,0.82,0.18,3.0,4.0,5.0
13,Zach Guthrie,Geelong,16.0,13.0,3.0,0.81,0.19,4.0,0.0,2.0
14,Bailey Smith,Geelong,41.0,28.0,13.0,0.68,0.32,7.0,0.0,2.0
14,Brad Close,Geelong,12.0,8.0,4.0,0.67,0.33,4.0,1.0,3.0
14,Connor O'Sullivan,Geelong,13.0,9.0,4.0,0.69,0.31,10.0,0.0,1.0
14,Gryan Miers,Geelong,25.0,17.0,8.0,0.68,0.32,6.0,1.0,5.0
14,Jack Henry,Geelong,8.0,5.0,3.0,0.62,0.38,4.0,0.0,1.0
14,Jack Martin,Geelong,15.0,11.0,4.0,0.73,0.27,10.0,0.0,1.0
14,Jeremy Cameron,Geelong,14.0,13.0,1.0,0.93,0.07,6.0,6.0,0.0
14,Lawson Humphries,Geelong,19.0,15.0,4.0,0.79,0.21,8.0,1.0,2.0
14,Mark Blicavs,Geelong,17.0,9.0,8.0,0.53,0.47,5.0,0.0,1.0
14,Mark O'Connor,Geelong,22.0,15.0,7.0,0.68,0.32,12.0,0.0,3.0
14,Max Holmes,Geelong,36.0,25.0,11.0,0.69,0.31,4.0,1.0,4.0
14,Mitch Duncan,Geelong,,,,,,,,
14,Oisin Mullin,Geelong,13.0,5.0,8.0,0.38,0.62,2.0,0.0,3.0
14,Oliver Dempsey,Geelong,17.0,9.0,8.0,0.53,0.47,6.0,2.0,1.0
