Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
24,Ben Keays,Adelaide,19.0,9.0,10.0,0.47,0.53,5.0,3.0,6.0,Gen. Forward
24,Billy Dowling,Adelaide,14.0,6.0,8.0,0.43,0.57,2.0,2.0,0.0,Mid-Forward
24,Brodie Smith,Adelaide,,,,,,,,,Gen. Defender
24,Daniel Curtin,Adelaide,7.0,3.0,4.0,0.43,0.57,3.0,0.0,4.0,Midfielder
24,Darcy Fogarty,Adelaide,17.0,9.0,8.0,0.53,0.47,5.0,1.0,1.0,Key Forward
24,Hugh Bond,Adelaide,3.0,2.0,1.0,0.67,0.33,0.0,0.0,2.0,Gen. Defender
24,Isaac Cumming,Adelaide,11.0,6.0,5.0,0.55,0.45,6.0,0.0,3.0,Midfielder
24,Jake Soligo,Adelaide,14.0,7.0,7.0,0.5,0.5,3.0,0.0,1.0,Midfielder
24,James Peatling,Adelaide,19.0,9.0,10.0,0.47,0.53,5.0,3.0,4.0,Midfielder
24,Jordan Dawson,Adelaide,23.0,15.0,8.0,0.65,0.35,6.0,0.0,7.0,Midfielder
24,Josh Worrell,Adelaide,19.0,11.0,8.0,0.58,0.42,4.0,0.0,1.0,Gen. Defender
24,Mark Keane,Adelaide,11.0,8.0,3.0,0.73,0.27,3.0,0.0,0.0,Key Defender
24,Mitchell Hinge,Adelaide,13.0,6.0,7.0,0.46,0.54,2.0,0.0,1.0,Gen. Defender
24,Nick Murray,Adelaide,7.0,5.0,2.0,0.71,0.29,4.0,0.0,1.0,Key Defender
24,Reilly O'Brien,Adelaide,11.0,7.0,4.0,0.64,0.36,2.0,0.0,7.0,Ruck
24,Riley Thilthorpe,Adelaide,18.0,15.0,3.0,0.83,0.17,12.0,3.0,2.0,Key Forward
24,Rory Laird,Adelaide,23.0,11.0,12.0,0.48,0.52,5.0,1.0,5.0,Gen. Defender
24,Sam Berry,Adelaide,24.0,13.0,11.0,0.54,0.46,2.0,0.0,8.0,Midfielder
24,Sid Draper,Adelaide,,,,,,,,,Mid-Forward
24,Taylor Walker,Adelaide,13.0,8.0,5.0,0.62,0.38,3.0,1.0,0.0,Key Forward
24,Wayne Milera,Adelaide,18.0,10.0,8.0,0.56,0.44,6.0,0.0,1.0,Gen. Defender
24,Zac Taylor,Adelaide,7.0,3.0,4.0,0.43,0.57,0.0,1.0,3.0,Gen. Forward
