Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
10,Zac Taylor,Adelaide,Gen. Forward,20251003,0,11.0,6.8,75,49,0.0,0,73,5,7,12,83.3,156,1,7,6,2,1,0,0,4,2,0,0,1,0,0,1,4,3,17,0
10,Mitchell Hinge,Adelaide,Gen. Defender,20251003,0,10.3,10.95,89,64,0.0,0,75,9,12,21,76.2,301,3,10,7,7,5,7,0,3,2,1,0,0,0,0,0,2,2,8,0
10,Rory Laird,Adelaide,Gen. Defender,20251003,0,9.9,10.35,117,95,0.03,0,78,11,16,27,85.2,419,2,8,7,7,6,9,0,0,5,0,0,0,0,0,1,4,4,7,0
10,Daniel Curtin,Adelaide,Midfielder,20251003,0,6.7,7.71,65,56,0.0,0,74,12,0,12,50.0,365,6,8,2,5,1,3,0,3,3,2,2,2,0,2,0,3,3,14,0
10,James Peatling,Adelaide,Midfielder,20251003,0,6.3,11.08,95,77,0.01,0,65,12,10,22,68.2,330,2,10,6,6,4,3,42,2,2,0,0,0,0,0,1,3,4,16,0
10,Taylor Walker,Adelaide,Key Forward,20251003,0,6.3,8.39,42,26,0.0,0,53,3,2,5,60.0,143,2,5,2,5,2,1,0,0,2,0,1,1,1,0,0,2,1,2,0
10,Jordon Butts,Adelaide,Key Defender,20251003,0,5.6,6.04,37,19,0.0,0,96,3,2,5,100.0,90,0,2,1,2,1,2,0,0,2,1,1,0,0,0,0,1,0,3,0
10,Wayne Milera,Adelaide,Gen. Defender,20251003,0,5.5,7.58,56,65,0.0,0,80,12,5,17,70.6,343,4,6,4,4,2,5,0,2,4,1,0,0,0,0,0,3,2,8,0
10,Max Michalanney,Adelaide,Gen. Defender,20251003,0,4.9,6.43,44,30,0.0,0,85,5,3,8,87.5,172,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,2,3,8,0
10,Isaac Cumming,Adelaide,Midfielder,20251003,0,4.8,8.38,35,38,0.0,0,79,5,5,10,80.0,154,0,4,4,4,4,5,0,0,4,1,0,0,0,0,0,1,1,14,0
10,Josh Worrell,Adelaide,Gen. Defender,20251003,0,4.4,9.04,69,42,0.0,0,86,12,3,15,80.0,525,3,3,3,2,2,3,0,1,1,0,0,0,0,0,0,2,0,9,0
10,Darcy Fogarty,Adelaide,Key Forward,20251003,5,4.3,7.61,57,76,0.35,5,83,8,3,11,54.5,261,3,4,2,4,2,0,0,0,7,0,2,5,4,0,0,5,1,4,0
10,Josh Rachele,Adelaide,Gen. Forward,20251003,0,3.7,10.04,73,69,0.01,0,83,10,4,14,57.1,291,3,5,2,1,1,0,12,3,4,0,0,3,1,1,3,5,3,16,0
10,Alex Neal-Bullen,Adelaide,Gen. Forward,20251003,0,3.3,11.2,41,44,0.0,0,79,5,4,9,77.8,154,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,19,0
10,Sam Berry,Adelaide,Midfielder,20251003,0,3.2,4.69,33,28,0.0,0,30,6,3,9,66.7,149,2,5,5,2,2,3,33,0,2,1,0,1,0,0,0,0,0,6,0
10,Luke Nankervis,Adelaide,Midfielder,20251003,0,3.2,7.49,28,39,0.0,0,69,6,4,10,70.0,71,0,1,1,1,1,4,0,0,4,1,0,0,0,0,0,2,1,9,0
10,Ben Keays,Adelaide,Gen. Forward,20251003,0,2.5,10.38,8,19,0.0,0,91,4,3,7,14.3,125,1,5,4,5,4,0,0,0,0,0,0,1,0,0,0,1,0,14,0
11,Josh Rachele,Adelaide,Gen. Forward,20251107,6,26.1,9.78,111,110,1.65,17,87,14,2,16,68.8,402,4,5,3,4,3,0,13,0,3,0,0,5,5,0,0,9,6,21,0
11,Jordan Dawson,Adelaide,Midfielder,20251107,10,22.7,13.34,138,139,2.74,78,85,20,7,27,48.1,610,11,17,9,7,5,6,73,8,6,1,0,5,2,3,2,10,9,19,0
11,Reilly O'Brien,Adelaide,Ruck,20251107,5,19.7,10.77,161,128,0.31,1,82,10,8,18,66.7,184,0,8,2,3,2,2,80,4,4,1,1,1,1,0,1,12,4,11,45
11,Daniel Curtin,Adelaide,Midfielder,20251107,0,15.5,8.38,83,70,0.0,0,83,10,4,14,85.7,249,2,7,3,6,2,5,0,1,8,2,3,0,0,0,1,4,2,8,0
11,Alex Neal-Bullen,Adelaide,Gen. Forward,20251107,0,15.0,10.69,103,64,0.0,0,73,6,8,14,78.6,111,1,9,8,9,8,2,0,0,1,0,0,1,1,0,0,4,5,17,0
11,James Peatling,Adelaide,Midfielder,20251107,0,12.7,10.09,107,84,0.04,0,71,9,7,16,81.3,249,3,11,8,3,2,1,50,7,3,0,0,3,2,1,0,8,5,13,0
