Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
18,James Trezise,Richmond,Midfielder,,,,,,,,,,,,
18,Jayden Short,Richmond,Gen. Defender,25.0,19.0,6.0,0.76,0.24,10.0,1.0,1.0,3.8,2.2,1.6,3.0
18,Jonty Faull,Richmond,Key Forward,8.0,5.0,3.0,0.62,0.38,5.0,1.0,0.0,0.75,0.12,0.62,2.25
18,Kamdyn McIntosh,Richmond,Midfielder,20.0,11.0,9.0,0.55,0.45,5.0,0.0,1.0,5.52,2.96,2.57,1.39
18,Luke Trainor,Richmond,Gen. Defender,16.0,11.0,5.0,0.69,0.31,5.0,0.0,5.0,2.05,1.67,0.38,1.05
18,Maurice Rioli,Richmond,Gen. Forward,9.0,7.0,2.0,0.78,0.22,3.0,0.0,2.0,0.54,1.46,-0.92,0.92
18,Nathan Broad,Richmond,Gen. Defender,13.0,7.0,6.0,0.54,0.46,4.0,0.0,1.0,-1.04,-2.59,1.54,-1.86
18,Nick Vlastuin,Richmond,Gen. Defender,23.0,15.0,8.0,0.65,0.35,8.0,0.0,4.0,3.86,0.96,2.91,1.91
18,Rhyan Mansell,Richmond,Gen. Forward,5.0,4.0,1.0,0.8,0.2,2.0,0.0,3.0,-6.25,-3.75,-2.5,-1.35
18,Sam Banks,Richmond,Gen. Defender,20.0,13.0,7.0,0.65,0.35,8.0,1.0,3.0,-1.09,-0.86,-0.23,3.36
18,Seth Campbell,Richmond,Gen. Forward,13.0,5.0,8.0,0.38,0.62,3.0,0.0,4.0,0.09,-2.18,2.27,0.46
18,Taj Hotton,Richmond,Gen. Forward,,,,,,,,,,,,
18,Thomas Sims,Richmond,Key Forward,7.0,1.0,6.0,0.14,0.86,2.0,0.0,0.0,0.18,-2.82,3.0,-0.18
18,Tim Taranto,Richmond,Midfielder,34.0,15.0,19.0,0.44,0.56,7.0,1.0,5.0,8.38,4.57,3.81,4.0
18,Toby Nankervis,Richmond,Ruck,18.0,10.0,8.0,0.56,0.44,1.0,0.0,1.0,2.14,2.14,0.0,-1.14
18,Tom Brown,Richmond,Gen. Defender,23.0,16.0,7.0,0.7,0.3,11.0,0.0,1.0,9.0,5.78,3.22,6.48
18,Tylar Young,Richmond,Key Defender,18.0,11.0,7.0,0.61,0.39,8.0,0.0,1.0,4.0,-0.14,4.14,1.29
18,Tyler Sonsie,Richmond,Mid-Forward,,,,,,,,,,,,
19,Ben Miller,Richmond,Key Defender,10.0,8.0,2.0,0.8,0.2,8.0,0.0,0.0,-2.44,-1.17,-1.26,1.91
19,Dion Prestia,Richmond,Midfielder,21.0,11.0,10.0,0.52,0.48,6.0,0.0,1.0,-2.0,1.08,-3.08,2.67
19,Jack Ross,Richmond,Mid-Forward,25.0,9.0,16.0,0.36,0.64,6.0,0.0,9.0,5.87,0.83,5.04,1.74
