Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
3,Jack Viney,Melbourne,19.0,8.0,11.0,0.42,0.58,2.0,0.0,5.0,Midfielder
3,Jacob van Rooyen,Melbourne,7.0,3.0,4.0,0.43,0.57,2.0,1.0,2.0,Key Forward
3,Jake Bowey,Melbourne,26.0,14.0,12.0,0.54,0.46,6.0,1.0,2.0,Gen. Defender
3,Jake Melksham,Melbourne,8.0,6.0,2.0,0.75,0.25,2.0,1.0,1.0,Key Forward
3,Kade Chandler,Melbourne,13.0,7.0,6.0,0.54,0.46,5.0,1.0,3.0,Gen. Forward
3,Max Gawn,Melbourne,15.0,8.0,7.0,0.53,0.47,5.0,0.0,2.0,Ruck
3,Steven May,Melbourne,20.0,15.0,5.0,0.75,0.25,4.0,0.0,0.0,Key Defender
3,Tom McDonald,Melbourne,17.0,12.0,5.0,0.71,0.29,6.0,0.0,1.0,Key Defender
3,Tom Sparrow,Melbourne,14.0,8.0,6.0,0.57,0.43,5.0,0.0,4.0,Gen. Forward
3,Trent Rivers,Melbourne,22.0,13.0,9.0,0.59,0.41,9.0,0.0,2.0,Gen. Defender
3,Xavier Lindsay,Melbourne,,,,,,,,,Midfielder
4,Bayley Fritsch,Melbourne,17.0,10.0,7.0,0.59,0.41,7.0,0.0,1.0,Gen. Forward
4,Caleb Windsor,Melbourne,16.0,9.0,7.0,0.56,0.44,3.0,0.0,1.0,Gen. Defender
4,Charlie Spargo,Melbourne,,,,,,,,,Gen. Forward
4,Christian Petracca,Melbourne,21.0,10.0,11.0,0.48,0.52,3.0,2.0,1.0,Mid-Forward
4,Christian Salem,Melbourne,18.0,10.0,8.0,0.56,0.44,7.0,0.0,3.0,Gen. Defender
4,Clayton Oliver,Melbourne,30.0,14.0,16.0,0.47,0.53,5.0,0.0,3.0,Midfielder
4,Daniel Turner,Melbourne,8.0,6.0,2.0,0.75,0.25,4.0,1.0,3.0,Key Defender
4,Ed Langdon,Melbourne,15.0,9.0,6.0,0.6,0.4,3.0,1.0,3.0,Mid-Forward
