Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
2,Travis Boak,Port Adelaide,Mid-Forward,28.0,9.0,19.0,0.32,0.68,6.0,0.0,0.0,7.5,0.06,7.44,1.81
2,Willem Drew,Port Adelaide,Midfielder,22.0,5.0,17.0,0.23,0.77,3.0,0.0,12.0,3.83,-3.09,6.91,0.83
2,Willie Rioli,Port Adelaide,Gen. Forward,17.0,10.0,7.0,0.59,0.41,5.0,3.0,3.0,7.21,3.26,3.95,2.42
3,Aliir Aliir,Port Adelaide,Key Defender,15.0,10.0,5.0,0.67,0.33,8.0,0.0,1.0,1.82,0.23,1.59,2.09
3,Christian Moraes,Port Adelaide,Midfielder,27.0,13.0,14.0,0.48,0.52,7.0,0.0,1.0,14.79,7.71,7.07,4.21
3,Connor Rozee,Port Adelaide,Gen. Defender,22.0,8.0,14.0,0.36,0.64,5.0,0.0,4.0,-5.43,-10.0,4.57,0.14
3,Darcy Byrne-Jones,Port Adelaide,Gen. Forward,15.0,12.0,3.0,0.8,0.2,4.0,2.0,2.0,2.27,3.82,-1.54,0.77
3,Esava Ratugolea,Port Adelaide,Key Defender,12.0,7.0,5.0,0.58,0.42,8.0,0.0,1.0,1.08,0.38,0.69,2.23
3,Ivan Soldo,Port Adelaide,Ruck,5.0,3.0,2.0,0.6,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,Jackson Mead,Port Adelaide,Midfielder,14.0,5.0,9.0,0.36,0.64,3.0,0.0,3.0,0.8,-1.65,2.45,0.3
3,Jase Burgoyne,Port Adelaide,Midfielder,27.0,16.0,11.0,0.59,0.41,10.0,0.0,3.0,7.8,4.8,3.0,5.4
3,Jason Horne-Francis,Port Adelaide,Midfielder,22.0,9.0,13.0,0.41,0.59,4.0,1.0,1.0,1.13,-4.4,5.53,-0.13
3,Joe Berry,Port Adelaide,Gen. Forward,15.0,10.0,5.0,0.67,0.33,5.0,0.0,0.0,6.0,4.67,1.33,2.58
3,Joe Richards,Port Adelaide,Gen. Forward,13.0,7.0,6.0,0.54,0.46,6.0,1.0,1.0,-2.23,-0.73,-1.5,2.64
3,Jordon Sweet,Port Adelaide,Ruck,14.0,7.0,7.0,0.5,0.5,5.0,0.0,4.0,2.79,2.16,0.63,3.1
3,Josh Sinn,Port Adelaide,Gen. Defender,18.0,16.0,2.0,0.89,0.11,4.0,0.0,1.0,6.55,7.4,-0.85,0.85
3,Kane Farrell,Port Adelaide,Gen. Defender,18.0,15.0,3.0,0.83,0.17,2.0,0.0,1.0,-2.29,-1.19,-1.09,-2.57
3,Logan Evans,Port Adelaide,Gen. Defender,10.0,8.0,2.0,0.8,0.2,3.0,0.0,2.0,-2.9,0.2,-3.1,0.2
3,Miles Bergman,Port Adelaide,Gen. Defender,26.0,19.0,7.0,0.73,0.27,10.0,0.0,0.0,8.21,6.79,1.42,4.89
3,Mitch Georgiades,Port Adelaide,Key Forward,13.0,9.0,4.0,0.69,0.31,6.0,2.0,0.0,0.91,0.17,0.74,0.52
3,Ollie Wines,Port Adelaide,Midfielder,31.0,13.0,18.0,0.42,0.58,4.0,1.0,3.0,5.6,3.15,2.45,0.15
3,Sam Powell-Pepper,Port Adelaide,Gen. Forward,14.0,8.0,6.0,0.57,0.43,6.0,0.0,4.0,-0.62,0.62,-1.25,2.12
3,Tom Cochrane,Port Adelaide,Gen. Forward,,,,,,,,,,,,
3,Travis Boak,Port Adelaide,Mid-Forward,18.0,10.0,8.0,0.56,0.44,6.0,1.0,3.0,-2.5,1.06,-3.56,1.81
3,Willem Drew,Port Adelaide,Midfielder,15.0,6.0,9.0,0.4,0.6,3.0,0.0,4.0,-3.17,-2.09,-1.09,0.83
3,Willie Rioli,Port Adelaide,Gen. Forward,16.0,11.0,5.0,0.69,0.31,4.0,0.0,1.0,6.21,4.26,1.95,1.42
4,Aliir Aliir,Port Adelaide,Key Defender,18.0,12.0,6.0,0.67,0.33,9.0,0.0,2.0,4.82,2.23,2.59,3.09
4,Christian Moraes,Port Adelaide,Midfielder,14.0,8.0,6.0,0.57,0.43,4.0,0.0,1.0,1.79,2.71,-0.93,1.21
4,Connor Rozee,Port Adelaide,Gen. Defender,20.0,12.0,8.0,0.6,0.4,2.0,0.0,6.0,-7.43,-6.0,-1.43,-2.86
4,Darcy Byrne-Jones,Port Adelaide,Gen. Forward,7.0,1.0,6.0,0.14,0.86,0.0,0.0,2.0,-5.73,-7.18,1.46,-3.23
4,Esava Ratugolea,Port Adelaide,Key Defender,9.0,8.0,1.0,0.89,0.11,5.0,0.0,0.0,-1.92,1.38,-3.31,-0.77
4,Jackson Mead,Port Adelaide,Midfielder,16.0,7.0,9.0,0.44,0.56,2.0,0.0,3.0,2.8,0.35,2.45,-0.7
4,Jase Burgoyne,Port Adelaide,Midfielder,13.0,9.0,4.0,0.69,0.31,4.0,0.0,3.0,-6.2,-2.2,-4.0,-0.6
4,Jason Horne-Francis,Port Adelaide,Midfielder,28.0,13.0,15.0,0.46,0.54,6.0,3.0,6.0,7.13,-0.4,7.53,1.87
4,Joe Berry,Port Adelaide,Gen. Forward,,,,,,,,,,,,
4,Joe Richards,Port Adelaide,Gen. Forward,16.0,4.0,12.0,0.25,0.75,4.0,0.0,6.0,0.77,-3.73,4.5,0.64
4,Jordon Sweet,Port Adelaide,Ruck,10.0,2.0,8.0,0.2,0.8,0.0,0.0,4.0,-1.21,-2.84,1.63,-1.9
4,Josh Sinn,Port Adelaide,Gen. Defender,12.0,11.0,1.0,0.92,0.08,3.0,0.0,1.0,0.55,2.4,-1.85,-0.15
