Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
2,Wayne Milera,Adelaide,Gen. Defender,18.0,16.0,2.0,0.89,0.11,6.0,1.0,1.0,0.17,3.96,-3.79,0.5
3,Alex Neal-Bullen,Adelaide,Gen. Forward,12.0,8.0,4.0,0.67,0.33,3.0,1.0,3.0,-4.32,-1.32,-3.0,-0.08
3,Ben Keays,Adelaide,Gen. Forward,20.0,12.0,8.0,0.6,0.4,7.0,2.0,3.0,3.24,2.0,1.24,3.2
3,Daniel Curtin,Adelaide,Midfielder,15.0,11.0,4.0,0.73,0.27,5.0,2.0,3.0,1.64,2.04,-0.4,0.48
3,Darcy Fogarty,Adelaide,Key Forward,6.0,4.0,2.0,0.67,0.33,3.0,2.0,1.0,-5.21,-3.75,-1.46,-1.79
3,Isaac Cumming,Adelaide,Midfielder,13.0,8.0,5.0,0.62,0.38,5.0,0.0,1.0,-1.62,-2.04,0.42,0.79
3,Izak Rankine,Adelaide,Mid-Forward,30.0,18.0,12.0,0.6,0.4,5.0,0.0,5.0,9.45,5.04,4.41,1.04
3,Jake Soligo,Adelaide,Midfielder,28.0,19.0,9.0,0.68,0.32,5.0,1.0,5.0,7.12,6.64,0.48,2.28
3,James Borlase,Adelaide,Key Defender,8.0,5.0,3.0,0.62,0.38,3.0,0.0,2.0,0.0,0.0,0.0,1.5
3,James Peatling,Adelaide,Midfielder,23.0,12.0,11.0,0.52,0.48,4.0,0.0,2.0,4.35,1.35,3.0,1.26
3,Jordan Dawson,Adelaide,Midfielder,19.0,11.0,8.0,0.58,0.42,3.0,0.0,6.0,-4.36,-4.68,0.32,-1.68
3,Josh Rachele,Adelaide,Gen. Forward,,,,,,,,,,,,
3,Josh Worrell,Adelaide,Gen. Defender,18.0,13.0,5.0,0.72,0.28,4.0,0.0,1.0,-3.0,-1.6,-1.4,-1.76
3,Lachlan Sholl,Adelaide,Midfielder,9.0,6.0,3.0,0.67,0.33,4.0,0.0,1.0,-5.0,-2.4,-2.6,-0.4
3,Mark Keane,Adelaide,Key Defender,4.0,3.0,1.0,0.75,0.25,0.0,0.0,2.0,-10.8,-8.8,-2.0,-4.52
3,Matt Crouch,Adelaide,Midfielder,19.0,8.0,11.0,0.42,0.58,2.0,0.0,2.0,-6.67,0.0,-6.67,-1.0
3,Max Michalanney,Adelaide,Gen. Defender,10.0,8.0,2.0,0.8,0.2,5.0,0.0,2.0,-3.33,-0.76,-2.57,0.67
3,Mitchell Hinge,Adelaide,Gen. Defender,20.0,16.0,4.0,0.8,0.2,7.0,0.0,4.0,4.42,5.0,-0.58,2.88
3,Reilly O'Brien,Adelaide,Ruck,16.0,7.0,9.0,0.44,0.56,5.0,0.0,2.0,4.0,0.64,3.36,2.0
3,Riley Thilthorpe,Adelaide,Key Forward,17.0,11.0,6.0,0.65,0.35,8.0,3.0,1.0,3.28,1.36,1.92,2.48
3,Rory Laird,Adelaide,Gen. Defender,32.0,12.0,20.0,0.38,0.62,7.0,0.0,2.0,7.86,-1.0,8.86,1.04
3,Sid Draper,Adelaide,Mid-Forward,,,,,,,,,,,,
3,Taylor Walker,Adelaide,Key Forward,14.0,11.0,3.0,0.79,0.21,5.0,4.0,1.0,1.78,2.48,-0.7,0.13
3,Wayne Milera,Adelaide,Gen. Defender,9.0,6.0,3.0,0.67,0.33,1.0,0.0,4.0,-8.83,-6.04,-2.79,-4.5
4,Alex Neal-Bullen,Adelaide,Gen. Forward,20.0,7.0,13.0,0.35,0.65,2.0,0.0,5.0,3.68,-2.32,6.0,-1.08
4,Ben Keays,Adelaide,Gen. Forward,17.0,8.0,9.0,0.47,0.53,5.0,1.0,3.0,0.24,-2.0,2.24,1.2
4,Daniel Curtin,Adelaide,Midfielder,12.0,7.0,5.0,0.58,0.42,3.0,0.0,3.0,-1.36,-1.96,0.6,-1.52
4,Darcy Fogarty,Adelaide,Key Forward,11.0,7.0,4.0,0.64,0.36,4.0,3.0,1.0,-0.21,-0.75,0.54,-0.79
4,Isaac Cumming,Adelaide,Midfielder,20.0,13.0,7.0,0.65,0.35,8.0,0.0,5.0,5.38,2.96,2.42,3.79
4,Izak Rankine,Adelaide,Mid-Forward,21.0,8.0,13.0,0.38,0.62,2.0,0.0,7.0,0.45,-4.96,5.41,-1.96
4,Jake Soligo,Adelaide,Midfielder,26.0,15.0,11.0,0.58,0.42,2.0,0.0,6.0,5.12,2.64,2.48,-0.72
4,James Borlase,Adelaide,Key Defender,8.0,5.0,3.0,0.62,0.38,0.0,0.0,1.0,0.0,0.0,0.0,-1.5
4,James Peatling,Adelaide,Midfielder,24.0,18.0,6.0,0.75,0.25,4.0,1.0,6.0,5.35,7.35,-2.0,1.26
4,Jordan Dawson,Adelaide,Midfielder,31.0,17.0,14.0,0.55,0.45,5.0,0.0,6.0,7.64,1.32,6.32,0.32
4,Josh Worrell,Adelaide,Gen. Defender,17.0,11.0,6.0,0.65,0.35,3.0,0.0,1.0,-4.0,-3.6,-0.4,-2.76
4,Lachlan Murphy,Adelaide,Gen. Forward,13.0,8.0,5.0,0.62,0.38,2.0,0.0,2.0,5.0,4.4,0.6,0.8
4,Lachlan Sholl,Adelaide,Midfielder,13.0,4.0,9.0,0.31,0.69,2.0,0.0,1.0,-1.0,-4.4,3.4,-2.4
4,Luke Nankervis,Adelaide,Midfielder,,,,,,,,,,,,
4,Mark Keane,Adelaide,Key Defender,9.0,7.0,2.0,0.78,0.22,3.0,0.0,1.0,-5.8,-4.8,-1.0,-1.52
4,Max Michalanney,Adelaide,Gen. Defender,9.0,7.0,2.0,0.78,0.22,2.0,0.0,2.0,-4.33,-1.76,-2.57,-2.33
4,Mitchell Hinge,Adelaide,Gen. Defender,27.0,17.0,10.0,0.63,0.37,5.0,0.0,2.0,11.42,6.0,5.42,0.88
4,Reilly O'Brien,Adelaide,Ruck,5.0,3.0,2.0,0.6,0.4,1.0,0.0,2.0,-7.0,-3.36,-3.64,-2.0
4,Riley Thilthorpe,Adelaide,Key Forward,16.0,11.0,5.0,0.69,0.31,5.0,5.0,2.0,2.28,1.36,0.92,-0.52
4,Rory Laird,Adelaide,Gen. Defender,16.0,6.0,10.0,0.38,0.62,2.0,0.0,4.0,-8.14,-7.0,-1.14,-3.96
4,Sid Draper,Adelaide,Mid-Forward,15.0,6.0,9.0,0.4,0.6,0.0,0.0,5.0,7.8,2.5,5.3,-0.8
4,Taylor Walker,Adelaide,Key Forward,14.0,10.0,4.0,0.71,0.29,7.0,4.0,0.0,1.78,1.48,0.3,2.13
4,Wayne Milera,Adelaide,Gen. Defender,20.0,11.0,9.0,0.55,0.45,3.0,0.0,2.0,2.17,-1.04,3.21,-2.5
5,Alex Neal-Bullen,Adelaide,Gen. Forward,12.0,7.0,5.0,0.58,0.42,4.0,0.0,2.0,-4.32,-2.32,-2.0,0.92
5,Ben Keays,Adelaide,Gen. Forward,18.0,10.0,8.0,0.56,0.44,6.0,3.0,1.0,1.24,0.0,1.24,2.2
5,Daniel Curtin,Adelaide,Midfielder,5.0,2.0,3.0,0.4,0.6,0.0,1.0,3.0,-8.36,-6.96,-1.4,-4.52
5,Darcy Fogarty,Adelaide,Key Forward,15.0,9.0,6.0,0.6,0.4,6.0,4.0,0.0,3.79,1.25,2.54,1.21
5,Isaac Cumming,Adelaide,Midfielder,14.0,13.0,1.0,0.93,0.07,5.0,0.0,1.0,-0.62,2.96,-3.58,0.79
5,Izak Rankine,Adelaide,Mid-Forward,25.0,16.0,9.0,0.64,0.36,5.0,2.0,4.0,4.45,3.04,1.41,1.04
5,Jake Soligo,Adelaide,Midfielder,15.0,8.0,7.0,0.53,0.47,2.0,0.0,2.0,-5.88,-4.36,-1.52,-0.72
5,James Peatling,Adelaide,Midfielder,22.0,10.0,12.0,0.45,0.55,1.0,0.0,5.0,3.35,-0.65,4.0,-1.74
5,Jordan Dawson,Adelaide,Midfielder,21.0,17.0,4.0,0.81,0.19,3.0,0.0,6.0,-2.36,1.32,-3.68,-1.68
5,Josh Worrell,Adelaide,Gen. Defender,15.0,9.0,6.0,0.6,0.4,5.0,0.0,2.0,-6.0,-5.6,-0.4,-0.76
5,Lachlan Sholl,Adelaide,Midfielder,,,,,,,,,,,,
5,Luke Nankervis,Adelaide,Midfielder,18.0,8.0,10.0,0.44,0.56,4.0,0.0,5.0,5.43,1.86,3.57,1.29
5,Mark Keane,Adelaide,Key Defender,24.0,15.0,9.0,0.62,0.38,9.0,0.0,0.0,9.2,3.2,6.0,4.48
5,Matt Crouch,Adelaide,Midfielder,28.0,10.0,18.0,0.36,0.64,4.0,0.0,2.0,2.33,2.0,0.33,1.0
5,Max Michalanney,Adelaide,Gen. Defender,10.0,7.0,3.0,0.7,0.3,2.0,0.0,2.0,-3.33,-1.76,-1.57,-2.33
5,Mitchell Hinge,Adelaide,Gen. Defender,25.0,19.0,6.0,0.76,0.24,6.0,0.0,2.0,9.42,8.0,1.42,1.88
5,Reilly O'Brien,Adelaide,Ruck,5.0,1.0,4.0,0.2,0.8,1.0,0.0,3.0,-7.0,-5.36,-1.64,-2.0
5,Riley Thilthorpe,Adelaide,Key Forward,13.0,7.0,6.0,0.54,0.46,4.0,1.0,2.0,-0.72,-2.64,1.92,-1.52
5,Rory Laird,Adelaide,Gen. Defender,23.0,14.0,9.0,0.61,0.39,8.0,0.0,1.0,-1.14,1.0,-2.14,2.04
5,Sid Draper,Adelaide,Mid-Forward,7.0,2.0,5.0,0.29,0.71,1.0,1.0,2.0,-0.2,-1.5,1.3,0.2
5,Taylor Walker,Adelaide,Key Forward,13.0,10.0,3.0,0.77,0.23,3.0,2.0,3.0,0.78,1.48,-0.7,-1.87
5,Wayne Milera,Adelaide,Gen. Defender,22.0,14.0,8.0,0.64,0.36,5.0,0.0,3.0,4.17,1.96,2.21,-0.5
5,Zac Taylor,Adelaide,Gen. Forward,,,,,,,,,,,,
6,Alex Neal-Bullen,Adelaide,Gen. Forward,20.0,9.0,11.0,0.45,0.55,3.0,1.0,3.0,3.68,-0.32,4.0,-0.08
6,Ben Keays,Adelaide,Gen. Forward,18.0,12.0,6.0,0.67,0.33,4.0,1.0,7.0,1.24,2.0,-0.76,0.2
6,Daniel Curtin,Adelaide,Midfielder,,,,,,,,,,,,
6,Darcy Fogarty,Adelaide,Key Forward,8.0,4.0,4.0,0.5,0.5,2.0,0.0,0.0,-3.21,-3.75,0.54,-2.79
6,Isaac Cumming,Adelaide,Midfielder,14.0,10.0,4.0,0.71,0.29,2.0,0.0,1.0,-0.62,-0.04,-0.58,-2.21
6,Izak Rankine,Adelaide,Mid-Forward,20.0,15.0,5.0,0.75,0.25,3.0,1.0,6.0,-0.55,2.04,-2.59,-0.96
6,Jake Soligo,Adelaide,Midfielder,22.0,15.0,7.0,0.68,0.32,3.0,0.0,2.0,1.12,2.64,-1.52,0.28
6,Jordan Dawson,Adelaide,Midfielder,27.0,22.0,5.0,0.81,0.19,5.0,0.0,8.0,3.64,6.32,-2.68,0.32
6,Josh Worrell,Adelaide,Gen. Defender,19.0,12.0,7.0,0.63,0.37,2.0,0.0,3.0,-2.0,-2.6,0.6,-3.76
