Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
3,Wil Powell,Gold Coast,Gen. Defender,11.0,6.0,5.0,0.55,0.45,2.0,0.0,1.0,-5.2,-3.44,-1.76,-2.8
3,Will Graham,Gold Coast,Gen. Forward,16.0,8.0,8.0,0.5,0.5,5.0,2.0,1.0,5.5,2.25,3.25,2.88
4,Bailey Humphrey,Gold Coast,Mid-Forward,13.0,7.0,6.0,0.54,0.46,1.0,1.0,4.0,-2.39,-1.17,-1.22,-1.83
4,Ben Ainsworth,Gold Coast,Gen. Forward,16.0,10.0,6.0,0.62,0.38,6.0,0.0,2.0,2.58,2.71,-0.12,2.46
4,Ben King,Gold Coast,Key Forward,9.0,5.0,4.0,0.56,0.44,3.0,2.0,0.0,1.68,-0.16,1.84,-0.24
4,Ben Long,Gold Coast,Gen. Forward,9.0,7.0,2.0,0.78,0.22,3.0,2.0,5.0,-1.79,-1.0,-0.79,-1.54
4,Bodhi Uwland,Gold Coast,Gen. Defender,13.0,8.0,5.0,0.62,0.38,2.0,0.0,3.0,-3.0,-1.76,-1.24,-3.36
4,Connor Budarick,Gold Coast,Gen. Forward,8.0,6.0,2.0,0.75,0.25,1.0,0.0,3.0,-3.68,-0.32,-3.37,-2.05
4,Daniel Rioli,Gold Coast,Gen. Defender,26.0,18.0,8.0,0.69,0.31,6.0,0.0,6.0,7.4,7.65,-0.25,2.5
4,Ethan Read,Gold Coast,Key Forward,3.0,2.0,1.0,0.67,0.33,1.0,1.0,4.0,-4.57,-3.24,-1.33,-1.67
4,Jake Rogers,Gold Coast,Gen. Forward,,,,,,,,,,,,
4,Jarrod Witts,Gold Coast,Ruck,14.0,5.0,9.0,0.36,0.64,2.0,0.0,3.0,1.25,0.04,1.21,0.42
4,Jed Walter,Gold Coast,Key Forward,10.0,9.0,1.0,0.9,0.1,5.0,3.0,0.0,2.88,5.06,-2.19,2.56
4,Joel Jeffrey,Gold Coast,Gen. Defender,15.0,9.0,6.0,0.6,0.4,1.0,0.0,6.0,-3.84,-3.92,0.08,-4.6
4,John Noble,Gold Coast,Gen. Defender,20.0,12.0,8.0,0.6,0.4,4.0,0.0,5.0,-5.28,-5.44,0.16,-0.84
4,Lachie Weller,Gold Coast,Midfielder,10.0,7.0,3.0,0.7,0.3,2.0,1.0,3.0,-5.37,-0.68,-4.68,-0.42
4,Mac Andrew,Gold Coast,Key Defender,14.0,7.0,7.0,0.5,0.5,4.0,0.0,0.0,0.12,-1.75,1.88,-1.38
4,Matt Rowell,Gold Coast,Midfielder,17.0,12.0,5.0,0.71,0.29,2.0,0.0,8.0,-9.28,-0.32,-8.96,0.36
4,Noah Anderson,Gold Coast,Midfielder,24.0,16.0,8.0,0.67,0.33,3.0,0.0,4.0,-6.08,1.24,-7.32,-0.72
4,Sam Clohesy,Gold Coast,Midfielder,,,,,,,,,,,,
