Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
2,Tristan Xerri,North Melbourne,Ruck,20.0,5.0,15.0,0.25,0.75,2.0,1.0,2.0,2.75,-1.15,3.9,0.35
2,Will Phillips,North Melbourne,Midfielder,,,,,,,,,,,,
3,Aidan Corr,North Melbourne,Key Defender,14.0,12.0,2.0,0.86,0.14,4.0,0.0,1.0,0.3,2.0,-1.7,-0.3
3,Bailey Scott,North Melbourne,Midfielder,12.0,8.0,4.0,0.67,0.33,7.0,0.0,0.0,1.5,1.92,-0.42,3.33
3,Caleb Daniel,North Melbourne,Gen. Defender,33.0,22.0,11.0,0.67,0.33,9.0,0.0,0.0,7.39,5.65,1.74,5.17
3,Cameron Zurhaar,North Melbourne,Gen. Forward,8.0,5.0,3.0,0.62,0.38,2.0,1.0,5.0,-2.54,-2.64,0.09,-1.86
3,Charlie Comben,North Melbourne,Key Defender,13.0,12.0,1.0,0.92,0.08,7.0,0.0,2.0,0.75,4.5,-3.75,1.5
3,Colby McKercher,North Melbourne,Gen. Defender,19.0,14.0,5.0,0.74,0.26,8.0,0.0,0.0,-4.13,-0.87,-3.26,4.61
3,Darcy Tucker,North Melbourne,Gen. Defender,19.0,12.0,7.0,0.63,0.37,4.0,0.0,3.0,5.71,4.71,1.0,0.29
3,Dylan Stephens,North Melbourne,Midfielder,,,,,,,,,,,,
3,Finn O'Sullivan,North Melbourne,Gen. Defender,16.0,8.0,8.0,0.5,0.5,5.0,0.0,0.0,1.68,-0.18,1.86,1.0
3,Harry Sheezel,North Melbourne,Mid-Forward,26.0,11.0,15.0,0.42,0.58,2.0,0.0,5.0,-3.3,-3.83,0.52,-3.78
3,Jack Darling,North Melbourne,Key Forward,11.0,8.0,3.0,0.73,0.27,4.0,1.0,2.0,1.23,1.68,-0.46,0.64
3,Jacob Konstanty,North Melbourne,Gen. Forward,7.0,3.0,4.0,0.43,0.57,3.0,2.0,1.0,-2.13,-1.96,-0.17,1.35
3,Jy Simpkin,North Melbourne,Mid-Forward,31.0,22.0,9.0,0.71,0.29,7.0,1.0,1.0,8.86,9.19,-0.33,2.95
3,Luke Davies-Uniacke,North Melbourne,Midfielder,19.0,11.0,8.0,0.58,0.42,5.0,0.0,2.0,-5.73,-0.68,-5.04,1.27
3,Luke McDonald,North Melbourne,Gen. Defender,15.0,8.0,7.0,0.53,0.47,4.0,0.0,4.0,-0.47,-1.27,0.8,-0.47
3,Luke Parker,North Melbourne,Midfielder,21.0,10.0,11.0,0.48,0.52,3.0,0.0,6.0,-2.32,-1.46,-0.86,-0.54
3,Nick Larkey,North Melbourne,Key Forward,11.0,9.0,2.0,0.82,0.18,5.0,4.0,0.0,1.29,2.65,-1.35,0.41
3,Paul Curtis,North Melbourne,Gen. Forward,9.0,5.0,4.0,0.56,0.44,3.0,2.0,4.0,-2.74,-2.89,0.16,-0.95
3,Robert Hansen Jr,North Melbourne,Mid-Forward,,,,,,,,,,,,
3,Toby Pink,North Melbourne,Key Defender,13.0,11.0,2.0,0.85,0.15,6.0,0.0,1.0,2.41,3.71,-1.29,0.82
3,Tom Powell,North Melbourne,Midfielder,21.0,8.0,13.0,0.38,0.62,4.0,0.0,3.0,-2.0,-2.48,0.48,0.17
3,Tristan Xerri,North Melbourne,Ruck,17.0,4.0,13.0,0.24,0.76,1.0,0.0,4.0,-0.25,-2.15,1.9,-0.65
3,Will Phillips,North Melbourne,Midfielder,12.0,4.0,8.0,0.33,0.67,2.0,0.0,2.0,-2.43,-1.14,-1.29,-0.43
4,Aidan Corr,North Melbourne,Key Defender,18.0,12.0,6.0,0.67,0.33,5.0,0.0,3.0,4.3,2.0,2.3,0.7
4,Bailey Scott,North Melbourne,Midfielder,12.0,7.0,5.0,0.58,0.42,4.0,0.0,0.0,1.5,0.92,0.58,0.33
4,Caleb Daniel,North Melbourne,Gen. Defender,25.0,15.0,10.0,0.6,0.4,5.0,0.0,2.0,-0.61,-1.35,0.74,1.17
