Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
3,Jaspa Fletcher,Brisbane,13.0,8.0,5.0,0.62,0.38,3.0,0.0,1.0,Gen. Defender
3,Josh Dunkley,Brisbane,26.0,21.0,5.0,0.81,0.19,4.0,0.0,6.0,Midfielder
3,Kai Lohmann,Brisbane,,,,,,,,,Gen. Forward
3,Lachie Neale,Brisbane,20.0,15.0,5.0,0.75,0.25,3.0,0.0,6.0,Midfielder
3,Levi Ashcroft,Brisbane,12.0,9.0,3.0,0.75,0.25,5.0,1.0,1.0,Midfielder
3,Logan Morris,Brisbane,10.0,4.0,6.0,0.4,0.6,2.0,1.0,5.0,Key Forward
3,Noah Answerth,Brisbane,17.0,12.0,5.0,0.71,0.29,5.0,0.0,1.0,Gen. Defender
3,Ryan Lester,Brisbane,15.0,13.0,2.0,0.87,0.13,6.0,0.0,1.0,Gen. Defender
3,Sam Day,Brisbane,6.0,4.0,2.0,0.67,0.33,3.0,0.0,4.0,Key Forward
3,Will Ashcroft,Brisbane,33.0,11.0,22.0,0.33,0.67,6.0,1.0,3.0,Midfielder
3,Zac Bailey,Brisbane,19.0,11.0,8.0,0.58,0.42,3.0,1.0,6.0,Mid-Forward
4,Bruce Reville,Brisbane,9.0,7.0,2.0,0.78,0.22,5.0,1.0,3.0,Midfielder
4,Callum Ah Chee,Brisbane,9.0,6.0,3.0,0.67,0.33,7.0,1.0,3.0,Gen. Forward
4,Cam Rayner,Brisbane,22.0,9.0,13.0,0.41,0.59,4.0,0.0,6.0,Gen. Forward
4,Charlie Cameron,Brisbane,6.0,5.0,1.0,0.83,0.17,4.0,3.0,1.0,Gen. Forward
4,Darcy Wilmot,Brisbane,21.0,17.0,4.0,0.81,0.19,4.0,0.0,3.0,Gen. Defender
4,Dayne Zorko,Brisbane,23.0,17.0,6.0,0.74,0.26,4.0,0.0,1.0,Gen. Defender
4,Eric Hipwood,Brisbane,8.0,5.0,3.0,0.62,0.38,4.0,1.0,0.0,Key Forward
4,Harris Andrews,Brisbane,12.0,9.0,3.0,0.75,0.25,7.0,0.0,1.0,Key Defender
4,Hugh McCluggage,Brisbane,26.0,12.0,14.0,0.46,0.54,6.0,2.0,12.0,Midfielder
4,Jack Payne,Brisbane,17.0,12.0,5.0,0.71,0.29,8.0,0.0,1.0,Key Defender
4,Jarrod Berry,Brisbane,19.0,9.0,10.0,0.47,0.53,0.0,1.0,4.0,Midfielder
4,Jaspa Fletcher,Brisbane,23.0,17.0,6.0,0.74,0.26,10.0,1.0,1.0,Gen. Defender
