Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
21,Tom Gross,West Coast,13.0,5.0,8.0,0.38,0.62,6.0,0.0,1.0,Mid-Forward
21,Tom McCarthy,West Coast,26.0,16.0,10.0,0.62,0.38,7.0,0.0,1.0,Gen. Defender
21,Tyler Brockman,West Coast,8.0,5.0,3.0,0.62,0.38,3.0,1.0,0.0,Gen. Forward
21,Tyrell Dewar,West Coast,,,,,,,,,Midfielder
22,Archer Reid,West Coast,4.0,2.0,2.0,0.5,0.5,1.0,0.0,4.0,Key Forward
22,Brady Hough,West Coast,18.0,10.0,8.0,0.56,0.44,7.0,0.0,1.0,Midfielder
22,Campbell Chesser,West Coast,13.0,9.0,4.0,0.69,0.31,3.0,1.0,4.0,Midfielder
22,Clay Hall,West Coast,16.0,6.0,10.0,0.38,0.62,3.0,0.0,3.0,Midfielder
22,Elijah Hewett,West Coast,19.0,6.0,13.0,0.32,0.68,1.0,0.0,4.0,Midfielder
22,Hamish Davis,West Coast,13.0,4.0,9.0,0.31,0.69,1.0,1.0,7.0,Mid-Forward
22,Jack Graham,West Coast,14.0,8.0,6.0,0.57,0.43,3.0,0.0,9.0,Mid-Forward
22,Jamie Cripps,West Coast,12.0,10.0,2.0,0.83,0.17,5.0,1.0,3.0,Gen. Forward
22,Jobe Shanahan,West Coast,6.0,6.0,0.0,1.0,0.0,4.0,3.0,1.0,Key Forward
22,Liam Baker,West Coast,14.0,8.0,6.0,0.57,0.43,4.0,1.0,5.0,Gen. Defender
22,Liam Duggan,West Coast,16.0,14.0,2.0,0.88,0.12,10.0,0.0,1.0,Gen. Defender
22,Liam Ryan,West Coast,12.0,10.0,2.0,0.83,0.17,6.0,3.0,4.0,Gen. Forward
22,Matt Flynn,West Coast,12.0,7.0,5.0,0.58,0.42,6.0,0.0,0.0,Ruck
22,Matthew Owies,West Coast,,,,,,,,,Gen. Forward
22,Reuben Ginbey,West Coast,11.0,8.0,3.0,0.73,0.27,2.0,0.0,4.0,Gen. Defender
22,Rhett Bazzo,West Coast,8.0,6.0,2.0,0.75,0.25,4.0,0.0,0.0,Key Defender
22,Ryan Maric,West Coast,16.0,7.0,9.0,0.44,0.56,3.0,0.0,2.0,Gen. Defender
22,Sandy Brock,West Coast,12.0,9.0,3.0,0.75,0.25,5.0,0.0,1.0,Key Defender
22,Tim Kelly,West Coast,25.0,14.0,11.0,0.56,0.44,1.0,1.0,5.0,Mid-Forward
22,Tom Cole,West Coast,14.0,9.0,5.0,0.64,0.36,4.0,0.0,6.0,Gen. Defender
22,Tom Gross,West Coast,,,,,,,,,Mid-Forward
22,Tom McCarthy,West Coast,29.0,21.0,8.0,0.72,0.28,3.0,0.0,2.0,Gen. Defender
22,Tyler Brockman,West Coast,11.0,6.0,5.0,0.55,0.45,4.0,1.0,1.0,Gen. Forward
23,Bailey J. Williams,West Coast,9.0,6.0,3.0,0.67,0.33,3.0,0.0,3.0,Ruck
23,Brady Hough,West Coast,13.0,6.0,7.0,0.46,0.54,3.0,0.0,2.0,Midfielder
23,Campbell Chesser,West Coast,22.0,8.0,14.0,0.36,0.64,5.0,0.0,3.0,Midfielder
23,Clay Hall,West Coast,15.0,2.0,13.0,0.13,0.87,0.0,0.0,2.0,Midfielder
23,Elijah Hewett,West Coast,16.0,7.0,9.0,0.44,0.56,2.0,0.0,6.0,Midfielder
23,Hamish Davis,West Coast,18.0,9.0,9.0,0.5,0.5,4.0,0.0,4.0,Mid-Forward
23,Jack Graham,West Coast,20.0,14.0,6.0,0.7,0.3,2.0,0.0,10.0,Mid-Forward
23,Jacob Newton,West Coast,,,,,,,,,Key Forward
23,Jamie Cripps,West Coast,10.0,6.0,4.0,0.6,0.4,2.0,1.0,2.0,Gen. Forward
23,Jobe Shanahan,West Coast,9.0,7.0,2.0,0.78,0.22,6.0,0.0,2.0,Key Forward
23,Liam Baker,West Coast,24.0,14.0,10.0,0.58,0.42,5.0,0.0,4.0,Gen. Defender
23,Liam Ryan,West Coast,12.0,7.0,5.0,0.58,0.42,4.0,0.0,3.0,Gen. Forward
23,Matt Flynn,West Coast,11.0,5.0,6.0,0.45,0.55,2.0,1.0,3.0,Ruck
23,Matthew Owies,West Coast,9.0,7.0,2.0,0.78,0.22,3.0,1.0,4.0,Gen. Forward
23,Noah Long,West Coast,11.0,4.0,7.0,0.36,0.64,1.0,1.0,4.0,Gen. Forward
23,Reuben Ginbey,West Coast,22.0,13.0,9.0,0.59,0.41,9.0,0.0,1.0,Gen. Defender
23,Rhett Bazzo,West Coast,15.0,7.0,8.0,0.47,0.53,8.0,0.0,0.0,Key Defender
23,Ryan Maric,West Coast,26.0,16.0,10.0,0.62,0.38,2.0,0.0,5.0,Gen. Defender
23,Sandy Brock,West Coast,13.0,8.0,5.0,0.62,0.38,4.0,0.0,0.0,Key Defender
23,Tim Kelly,West Coast,17.0,8.0,9.0,0.47,0.53,1.0,0.0,4.0,Mid-Forward
23,Tom Cole,West Coast,17.0,12.0,5.0,0.71,0.29,8.0,0.0,4.0,Gen. Defender
23,Tom McCarthy,West Coast,25.0,13.0,12.0,0.52,0.48,2.0,0.0,3.0,Gen. Defender
23,Tyler Brockman,West Coast,,,,,,,,,Gen. Forward
24,Bailey J. Williams,West Coast,7.0,6.0,1.0,0.86,0.14,2.0,1.0,1.0,Ruck
24,Brady Hough,West Coast,20.0,15.0,5.0,0.75,0.25,8.0,0.0,2.0,Midfielder
24,Campbell Chesser,West Coast,15.0,8.0,7.0,0.53,0.47,1.0,0.0,0.0,Midfielder
24,Clay Hall,West Coast,17.0,6.0,11.0,0.35,0.65,1.0,0.0,6.0,Midfielder
24,Elijah Hewett,West Coast,14.0,5.0,9.0,0.36,0.64,3.0,0.0,4.0,Midfielder
24,Hamish Davis,West Coast,13.0,8.0,5.0,0.62,0.38,4.0,0.0,6.0,Mid-Forward
24,Jack Graham,West Coast,25.0,13.0,12.0,0.52,0.48,1.0,0.0,9.0,Mid-Forward
24,Jacob Newton,West Coast,5.0,5.0,0.0,1.0,0.0,2.0,1.0,3.0,Key Forward
24,Jamie Cripps,West Coast,14.0,10.0,4.0,0.71,0.29,5.0,1.0,2.0,Gen. Forward
