Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
2,Sam Darcy,Western Bulldogs,Key Forward,15.0,11.0,4.0,0.73,0.27,8.0,4.0,3.0,0.77,1.77,-1.0,2.0
2,Sam Davidson,Western Bulldogs,Midfielder,15.0,11.0,4.0,0.73,0.27,2.0,0.0,3.0,-0.53,1.42,-1.95,-2.26
2,Taylor Duryea,Western Bulldogs,Gen. Defender,11.0,7.0,4.0,0.64,0.36,4.0,0.0,1.0,0.2,0.6,-0.4,0.2
2,Tim English,Western Bulldogs,Ruck,14.0,6.0,8.0,0.43,0.57,5.0,0.0,7.0,-3.83,-4.09,0.26,-1.13
2,Tom Liberatore,Western Bulldogs,Midfielder,34.0,16.0,18.0,0.47,0.53,2.0,1.0,3.0,7.52,3.13,4.39,-1.7
3,Aaron Naughton,Western Bulldogs,Key Forward,6.0,3.0,3.0,0.5,0.5,4.0,1.0,3.0,-5.78,-5.22,-0.56,-1.39
3,Bailey Dale,Western Bulldogs,Gen. Defender,20.0,14.0,6.0,0.7,0.3,4.0,0.0,0.0,-7.04,-5.74,-1.3,-0.7
3,Bailey Williams,Western Bulldogs,Midfielder,26.0,9.0,17.0,0.35,0.65,5.0,0.0,2.0,6.3,-1.3,7.61,-1.35
3,Buku Khamis,Western Bulldogs,Key Forward,10.0,8.0,2.0,0.8,0.2,6.0,0.0,4.0,1.14,2.93,-1.79,2.07
3,Ed Richards,Western Bulldogs,Midfielder,21.0,12.0,9.0,0.57,0.43,5.0,0.0,5.0,-4.78,-3.35,-1.44,1.65
3,Harvey Gallagher,Western Bulldogs,Gen. Defender,9.0,9.0,0.0,1.0,0.0,4.0,0.0,1.0,-2.0,1.2,-3.2,1.2
3,James Harmes,Western Bulldogs,Midfielder,22.0,14.0,8.0,0.64,0.36,5.0,0.0,3.0,4.61,6.0,-1.38,1.92
3,James O'Donnell,Western Bulldogs,Key Defender,10.0,7.0,3.0,0.7,0.3,3.0,2.0,3.0,-0.41,0.0,-0.41,-1.09
3,Joel Freijah,Western Bulldogs,Mid-Forward,16.0,7.0,9.0,0.44,0.56,4.0,0.0,4.0,-3.0,-2.65,-0.35,0.44
3,Josh Dolan,Western Bulldogs,Gen. Forward,,,,,,,,,,,,
3,Lachlan Bramble,Western Bulldogs,Gen. Defender,18.0,12.0,6.0,0.67,0.33,3.0,0.0,2.0,0.7,0.44,0.26,-1.39
3,Lachlan McNeil,Western Bulldogs,Gen. Forward,12.0,6.0,6.0,0.5,0.5,2.0,1.0,3.0,2.76,1.14,1.62,0.52
3,Laitham Vandermeer,Western Bulldogs,Gen. Forward,11.0,5.0,6.0,0.45,0.55,1.0,1.0,3.0,0.63,-0.26,0.89,-1.9
3,Liam Jones,Western Bulldogs,Key Defender,7.0,4.0,3.0,0.57,0.43,4.0,0.0,2.0,-2.4,-2.8,0.4,-0.2
3,Matthew Kennedy,Western Bulldogs,Midfielder,22.0,15.0,7.0,0.68,0.32,3.0,2.0,4.0,-1.17,2.44,-3.61,-1.48
3,Oskar Baker,Western Bulldogs,Midfielder,14.0,10.0,4.0,0.71,0.29,7.0,0.0,0.0,-1.33,1.11,-2.44,2.78
3,Rhylee West,Western Bulldogs,Gen. Forward,8.0,3.0,5.0,0.38,0.62,1.0,1.0,3.0,-5.61,-4.43,-1.17,-2.04
3,Rory Lobb,Western Bulldogs,Key Defender,13.0,8.0,5.0,0.62,0.38,3.0,0.0,2.0,0.83,-0.04,0.87,-2.39
3,Ryley Sanders,Western Bulldogs,Mid-Forward,24.0,7.0,17.0,0.29,0.71,2.0,1.0,3.0,5.43,1.09,4.33,-1.0
3,Sam Darcy,Western Bulldogs,Key Forward,17.0,13.0,4.0,0.76,0.24,8.0,2.0,2.0,2.77,3.77,-1.0,2.0
3,Sam Davidson,Western Bulldogs,Midfielder,31.0,20.0,11.0,0.65,0.35,10.0,0.0,3.0,15.47,10.42,5.05,5.74
3,Tim English,Western Bulldogs,Ruck,16.0,10.0,6.0,0.62,0.38,6.0,0.0,2.0,-1.83,-0.09,-1.74,-0.13
3,Tom Liberatore,Western Bulldogs,Midfielder,30.0,17.0,13.0,0.57,0.43,6.0,1.0,11.0,3.52,4.13,-0.61,2.3
4,Aaron Naughton,Western Bulldogs,Key Forward,9.0,7.0,2.0,0.78,0.22,3.0,1.0,3.0,-2.78,-1.22,-1.56,-2.39
4,Bailey Dale,Western Bulldogs,Gen. Defender,26.0,18.0,8.0,0.69,0.31,4.0,0.0,1.0,-1.04,-1.74,0.7,-0.7
4,Bailey Williams,Western Bulldogs,Midfielder,16.0,9.0,7.0,0.56,0.44,6.0,0.0,3.0,-3.7,-1.3,-2.39,-0.35
4,Buku Khamis,Western Bulldogs,Key Forward,11.0,3.0,8.0,0.27,0.73,4.0,0.0,4.0,2.14,-2.07,4.21,0.07
4,Ed Richards,Western Bulldogs,Midfielder,23.0,11.0,12.0,0.48,0.52,3.0,0.0,4.0,-2.78,-4.35,1.56,-0.35
4,Harvey Gallagher,Western Bulldogs,Gen. Defender,,,,,,,,,,,,
4,James Harmes,Western Bulldogs,Midfielder,24.0,11.0,13.0,0.46,0.54,4.0,1.0,7.0,6.61,3.0,3.62,0.92
4,James O'Donnell,Western Bulldogs,Key Defender,10.0,7.0,3.0,0.7,0.3,1.0,1.0,0.0,-0.41,0.0,-0.41,-3.09
4,Joel Freijah,Western Bulldogs,Mid-Forward,15.0,6.0,9.0,0.4,0.6,1.0,0.0,2.0,-4.0,-3.65,-0.35,-2.56
4,Josh Dolan,Western Bulldogs,Gen. Forward,8.0,5.0,3.0,0.62,0.38,1.0,0.0,0.0,0.18,1.82,-1.64,-0.36
4,Lachlan Bramble,Western Bulldogs,Gen. Defender,16.0,10.0,6.0,0.62,0.38,3.0,0.0,3.0,-1.3,-1.56,0.26,-1.39
4,Lachlan McNeil,Western Bulldogs,Gen. Forward,10.0,5.0,5.0,0.5,0.5,1.0,1.0,4.0,0.76,0.14,0.62,-0.48
4,Laitham Vandermeer,Western Bulldogs,Gen. Forward,,,,,,,,,,,,
4,Liam Jones,Western Bulldogs,Key Defender,12.0,9.0,3.0,0.75,0.25,4.0,0.0,0.0,2.6,2.2,0.4,-0.2
4,Matthew Kennedy,Western Bulldogs,Midfielder,26.0,15.0,11.0,0.58,0.42,4.0,0.0,4.0,2.83,2.44,0.39,-0.48
4,Oskar Baker,Western Bulldogs,Midfielder,20.0,17.0,3.0,0.85,0.15,8.0,0.0,1.0,4.67,8.11,-3.44,3.78
4,Rhylee West,Western Bulldogs,Gen. Forward,15.0,7.0,8.0,0.47,0.53,3.0,1.0,4.0,1.39,-0.43,1.83,-0.04
4,Rory Lobb,Western Bulldogs,Key Defender,12.0,9.0,3.0,0.75,0.25,7.0,0.0,2.0,-0.17,0.96,-1.13,1.61
4,Ryley Sanders,Western Bulldogs,Mid-Forward,20.0,11.0,9.0,0.55,0.45,5.0,2.0,4.0,1.43,5.1,-3.67,2.0
4,Sam Darcy,Western Bulldogs,Key Forward,21.0,15.0,6.0,0.71,0.29,11.0,5.0,1.0,6.76,5.76,1.0,5.0
4,Sam Davidson,Western Bulldogs,Midfielder,18.0,9.0,9.0,0.5,0.5,5.0,0.0,3.0,2.47,-0.58,3.05,0.74
4,Tim English,Western Bulldogs,Ruck,19.0,12.0,7.0,0.63,0.37,3.0,0.0,4.0,1.17,1.91,-0.74,-3.13
4,Tom Liberatore,Western Bulldogs,Midfielder,30.0,17.0,13.0,0.57,0.43,4.0,0.0,2.0,3.52,4.13,-0.61,0.3
5,Aaron Naughton,Western Bulldogs,Key Forward,8.0,7.0,1.0,0.88,0.12,6.0,3.0,1.0,-3.78,-1.22,-2.56,0.61
