MatchId,Player,Team,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
20251901,Matt Rowell,Gold Coast,6,29.8,15.45,161,118,0.9,3,86,19,11,30,76.7,566,7,16,10,6,5,5,84,12,2,1,0,0,0,0,0,2,9,26,0
20251901,Alex Neal-Bullen,Adelaide,10,23.9,9.91,155,135,2.95,96,84,20,11,31,80.6,539,2,9,5,7,3,3,0,2,7,1,1,4,3,1,2,12,4,12,0
20251901,Wil Powell,Gold Coast,0,15.2,8.37,99,79,0,0,85,10,6,16,81.3,442,6,6,3,5,2,6,0,0,2,1,1,0,0,0,0,4,8,10,0
20251901,Daniel Curtin,Adelaide,6,14.9,10.74,132,93,0.28,0,87,15,5,20,80,336,1,11,5,7,3,5,0,2,6,1,2,2,1,1,1,6,3,15,0
20251901,Izak Rankine,Adelaide,0,13.9,13.72,97,66,0.06,0,90,11,4,15,53.3,403,4,11,8,9,7,1,8,2,2,0,0,4,2,2,0,7,2,21,0
20251901,Sam Flanders,Gold Coast,0,13.9,11.27,115,107,0.03,0,83,11,17,28,82.1,155,3,12,12,4,4,4,12,6,9,0,0,2,1,1,0,4,1,9,0
20251901,Jordan Dawson,Adelaide,0,13.6,14.26,88,88,0.4,1,76,11,9,20,65,367,5,7,5,1,1,1,64,5,4,1,0,2,1,1,1,6,5,21,0
20251901,Reilly O'Brien,Adelaide,0,12.8,10.66,90,70,0.02,0,85,7,3,10,50,150,2,6,4,3,2,1,92,4,0,0,0,0,0,0,1,7,2,9,40
20251901,Jarrod Witts,Gold Coast,0,11.2,13.63,91,76,0,0,82,5,6,11,63.6,117,2,9,3,2,1,2,84,3,1,0,0,0,0,0,0,3,3,12,35
20251901,Josh Worrell,Adelaide,4,11.1,9.02,116,99,0.25,0,94,17,8,25,88,409,2,7,6,7,6,11,0,0,11,3,0,0,0,0,0,5,0,4,0
20251901,Jake Soligo,Adelaide,0,10.9,10.85,87,95,0.26,0,75,10,14,24,75,232,2,9,6,5,4,3,60,3,6,0,0,1,1,0,0,6,5,18,0
20251901,Noah Anderson,Gold Coast,0,10.7,16.5,86,78,0.08,0,87,10,17,27,74.1,261,5,11,8,2,1,2,88,5,4,1,0,0,0,0,0,2,1,28,0
20251901,James Peatling,Adelaide,0,9.9,9.8,89,97,0.22,0,84,15,6,21,52.4,428,4,9,2,1,1,0,68,7,3,0,0,1,1,0,0,6,6,21,0
20251901,Sam Berry,Adelaide,0,9.9,11.06,96,82,0.12,0,70,13,2,15,46.7,366,6,7,4,1,0,2,60,4,1,0,0,1,1,0,1,4,7,24,0
20251901,Mark Keane,Adelaide,3,9.4,10.41,92,48,0.04,0,100,12,1,13,92.3,238,0,2,1,2,1,7,0,0,4,2,0,0,0,0,0,2,0,4,0
20251901,Riley Thilthorpe,Adelaide,0,8.9,12.09,82,66,0.02,0,69,5,4,9,66.7,168,0,3,1,3,1,0,8,0,6,0,2,2,2,0,0,5,2,9,8
20251901,John Noble,Gold Coast,0,8.4,8.66,96,70,0,0,82,14,6,20,90,338,1,3,3,2,2,1,0,0,4,0,0,0,0,0,0,1,1,8,0
20251901,Taylor Walker,Adelaide,0,8.3,7.75,59,41,0.02,0,77,6,3,9,66.7,175,2,5,3,5,3,0,0,0,2,0,2,4,2,2,0,7,0,5,0
20251901,Isaac Cumming,Adelaide,0,8.2,8.17,89,68,0.02,0,66,9,7,16,75,317,2,6,5,2,2,2,0,3,6,0,0,1,0,1,0,2,2,6,0
20251901,Mac Andrew,Gold Coast,0,7.8,8.31,73,57,0,0,91,10,4,14,85.7,166,0,7,3,7,3,10,0,0,6,3,1,0,0,0,0,0,1,4,0
20251901,Luke Pedlar,Adelaide,0,7.5,6.35,47,35,0.01,0,69,6,1,7,85.7,136,1,1,0,1,0,3,4,1,2,1,0,2,1,0,0,3,1,8,0
20251901,Rory Laird,Adelaide,0,7.5,9.42,93,104,0.08,0,85,17,6,23,82.6,243,1,4,4,2,2,5,0,2,11,3,0,0,0,0,0,3,2,10,0
20251901,Wayne Milera,Adelaide,0,6.7,8.14,97,101,0.04,0,73,17,4,21,81,461,4,2,0,2,0,3,0,1,12,1,0,0,0,0,2,6,1,4,0
20251901,Joel Jeffrey,Gold Coast,0,6.3,9.81,73,76,0.01,0,84,15,7,22,77.3,519,1,5,4,4,3,6,0,1,4,0,0,1,1,0,1,4,1,5,0
20251901,Max Michalanney,Adelaide,1,5.7,6.24,95,84,0.09,0,91,16,6,22,86.4,329,1,6,5,5,4,7,0,1,9,3,0,0,0,0,0,4,2,4,0
20251901,Zac Taylor,Adelaide,0,5.7,6.89,44,54,0.01,0,76,5,6,11,81.8,202,1,0,0,0,0,0,4,0,5,0,0,0,0,0,1,7,3,19,0
20251901,Daniel Rioli,Gold Coast,0,5.6,10.02,53,33,0,0,37,7,4,11,72.7,216,1,3,3,2,2,3,0,1,1,0,0,0,0,0,0,1,0,4,0
20251901,Ben Keays,Adelaide,0,5.1,10.5,87,80,0.04,0,91,8,10,18,61.1,96,0,9,4,7,4,3,0,0,2,0,0,1,1,0,1,8,5,18,0
20251901,Ben Jepson,Gold Coast,0,5.1,5.72,36,38,0,0,77,9,3,12,83.3,302,3,2,1,1,0,3,0,0,2,1,0,0,0,0,0,3,1,13,0
20251901,Oscar Adams,Gold Coast,0,5.1,5.56,53,33,0,0,88,3,4,7,85.7,26,1,4,2,3,1,3,0,0,4,2,2,0,0,0,0,0,1,5,0
20251901,Connor Budarick,Gold Coast,0,4.9,5.54,79,92,0.01,0,88,18,6,24,70.8,723,3,3,3,3,3,4,0,0,9,2,0,1,0,1,0,2,1,8,0
20251901,Bailey Humphrey,Gold Coast,0,4.9,11.5,38,41,0,0,82,5,7,12,66.7,244,3,7,5,3,2,0,76,4,3,0,1,0,0,0,0,4,3,20,0
20251901,Darcy Fogarty,Adelaide,0,4.2,6.64,44,37,0,0,85,7,0,7,100,260,4,3,0,3,0,0,0,0,6,0,2,0,0,0,2,4,0,5,0
20251901,Ben King,Gold Coast,0,3.9,7.16,30,21,0,0,83,2,2,4,75,72,1,3,3,3,3,0,0,0,1,0,0,1,1,0,0,2,2,5,0
20251901,Ethan Read,Gold Coast,0,3.2,4.61,60,49,0,0,65,7,2,9,55.6,132,2,4,2,3,1,1,16,1,2,0,1,3,1,1,0,4,1,8,6
20251901,Mitchell Hinge,Adelaide,0,2.9,8.86,20,6,0,0,11,1,0,1,100,10,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,1,0
20251901,David Swallow,Gold Coast,0,2.8,2.75,26,24,0,0,46,3,4,7,71.4,115,1,5,3,5,3,3,0,0,1,0,0,1,0,1,0,4,1,4,0
20251901,Jed Walter,Gold Coast,0,2.7,4.5,35,34,0,0,72,3,1,4,50,53,0,2,0,2,0,0,0,0,2,0,1,3,1,1,0,3,2,3,1
20251901,Nick Murray,Adelaide,0,2.2,7.51,42,40,0.01,0,96,6,5,11,63.6,201,2,4,4,4,4,6,0,0,4,2,0,0,0,0,0,3,0,1,0
