MatchId,Player,Team,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
20250901,Jack Crisp,Collingwood,9,28.6,11.13,171,119,2.12,34,84,16,13,29,72.4,709,5,18,16,7,7,4,61,7,3,0,0,2,2,0,1,6,6,22,0
20250901,Andrew Brayshaw,Fremantle,1,25.4,15.2,154,119,0.5,2,86,9,25,34,88.2,336,6,14,8,5,4,4,90,6,5,1,0,1,1,0,2,8,5,19,0
20250901,Jordan Clark,Fremantle,6,21.1,10.03,146,134,0.38,2,90,24,9,33,78.8,462,5,8,3,7,3,8,3,2,8,2,1,1,0,0,0,5,4,10,0
20250901,Jamie Elliott,Collingwood,9,20.8,7.71,116,108,2.54,61,79,13,1,14,71.4,401,3,3,1,2,1,1,0,1,8,0,1,8,6,2,1,9,1,5,0
20250901,Bobby Hill,Collingwood,0,18.9,8.23,98,86,0.02,0,79,10,4,14,64.3,349,3,5,3,5,3,4,0,0,5,1,0,4,3,1,1,7,3,17,0
20250901,Shai Bolton,Fremantle,3,18.2,11.17,114,97,0.29,1,85,15,13,28,75,482,7,14,9,3,2,2,52,9,3,0,0,1,1,0,0,6,3,13,0
20250901,Caleb Serong,Fremantle,0,17.3,15.74,104,91,0.03,0,78,14,11,25,80,541,8,9,5,2,2,1,84,7,3,0,0,1,0,1,1,6,4,18,0
20250901,Beau McCreery,Collingwood,0,15.3,7.92,80,63,0,0,81,10,3,13,92.3,284,4,5,3,4,2,2,10,1,4,1,1,0,0,0,1,6,5,27,0
20250901,Luke Jackson,Fremantle,0,14.9,12.87,111,92,0,0,85,5,14,19,84.2,217,3,11,8,5,2,4,61,3,5,3,3,0,0,0,1,7,5,13,17
20250901,Darcy Cameron,Collingwood,2,14.1,12.76,113,113,0.04,0,82,10,9,19,52.6,142,1,10,6,6,3,6,74,1,8,4,3,0,0,0,0,2,3,6,28
20250901,Josh Treacy,Fremantle,0,13.4,8.52,67,57,0,0,91,6,5,11,63.6,247,2,8,5,8,5,1,0,0,5,0,3,2,2,0,0,4,2,10,0
20250901,Sam Switkowski,Fremantle,0,11.2,9.57,69,59,0,0,82,6,13,19,84.2,108,1,5,4,4,4,2,0,1,4,0,0,1,1,0,1,4,0,9,0
20250901,Josh Daicos,Collingwood,0,11,9.76,90,70,0,0,87,13,6,19,84.2,413,1,6,5,5,4,5,3,1,5,1,0,0,0,0,0,2,1,14,0
20250901,Darcy Moore,Collingwood,0,11,11.16,67,42,0,0,95,5,4,9,100,237,1,4,3,4,3,6,0,0,6,4,1,0,0,0,0,0,1,2,0
20250901,Lachie Schultz,Collingwood,0,10.5,8.54,60,33,0,0,66,4,6,10,60,176,4,5,4,2,2,2,0,2,2,0,0,1,0,0,3,3,2,21,0
20250901,Mason Cox,Collingwood,0,9.8,7.68,48,51,0,0,76,5,3,8,62.5,84,1,5,2,3,2,0,26,1,1,0,0,1,1,0,0,2,3,8,7
20250901,Matthew Johnson,Fremantle,0,9.1,9.11,87,79,0,0,85,10,12,22,63.6,431,6,9,6,4,4,3,10,4,4,0,0,3,0,3,1,6,3,19,0
20250901,Harry Perryman,Collingwood,0,8.6,8.35,91,82,0,0,78,10,6,16,81.3,197,1,6,5,4,3,5,29,2,6,2,0,0,0,0,0,2,6,14,0
20250901,Luke Ryan,Fremantle,0,8.3,9.48,120,122,0.02,0,96,24,6,30,86.7,527,2,5,4,5,4,7,0,0,12,1,0,0,0,0,0,2,1,5,0
20250901,Ned Long,Collingwood,0,8.2,10.26,65,67,0,0,71,5,7,12,66.7,134,0,5,3,0,0,0,65,3,2,0,0,1,1,0,0,3,7,23,0
20250901,Dan Houston,Collingwood,0,7.9,11.73,64,52,0,0,86,7,5,12,66.7,153,0,5,4,3,2,4,0,1,3,1,0,0,0,0,0,1,3,10,0
20250901,Heath Chapman,Fremantle,0,7.8,7.24,67,69,0,0,88,11,6,17,64.7,372,1,6,4,4,3,4,0,2,6,0,0,0,0,0,0,3,2,9,0
20250901,Lachlan Sullivan,Collingwood,0,7.6,7.84,76,78,0,0,87,11,6,17,58.8,259,2,7,4,2,1,2,19,2,4,1,1,1,0,1,0,2,5,23,0
20250901,Michael Frederick,Fremantle,0,7.5,7.41,48,51,0,0,84,6,7,13,69.2,208,4,3,3,3,3,2,0,0,3,0,0,1,1,0,1,4,1,6,0
20250901,Patrick Voss,Fremantle,0,7.3,4.26,38,35,0,0,74,5,0,5,60,140,1,3,1,3,1,0,6,0,2,0,1,2,2,0,0,2,0,6,1
20250901,Billy Frampton,Collingwood,0,7.2,7.26,79,64,0,0,96,10,5,15,66.7,269,0,7,5,7,5,8,0,0,9,3,2,0,0,0,0,0,0,4,0
20250901,Edward Allan,Collingwood,0,7.1,8.55,47,44,0,0,77,4,7,11,81.8,168,0,3,3,1,1,2,13,1,2,2,0,0,0,0,0,1,3,13,0
20250901,Brennan Cox,Fremantle,0,6.9,8.95,66,52,0,0,81,7,6,13,92.3,153,1,6,3,6,3,4,0,0,4,0,1,0,0,0,0,1,2,8,0
20250901,Jeremy Howe,Collingwood,0,6.3,9.37,78,76,0,0,96,16,1,17,82.4,453,1,1,0,1,0,3,0,0,7,2,0,0,0,0,0,1,2,6,0
20250901,Alex Pearce,Fremantle,0,6.1,9.92,63,64,0,0,96,10,3,13,76.9,163,0,4,3,4,3,4,0,0,7,1,1,1,1,0,0,3,0,4,0
20250901,Nick Daicos,Collingwood,0,6,15.3,76,67,0.03,0,87,10,8,18,61.1,233,2,9,7,4,3,2,68,4,2,0,0,3,1,1,2,6,3,10,0
20250901,Will Hoskin-Elliott,Collingwood,0,5.1,6.94,40,33,0,0,79,4,3,7,85.7,76,2,2,1,2,1,0,0,0,4,0,1,1,1,0,0,3,0,3,0
20250901,Karl Worner,Fremantle,0,5.1,6.69,57,57,0,0,76,9,3,12,83.3,193,2,3,2,2,1,4,0,0,6,2,0,0,0,0,0,3,2,8,0
20250901,Murphy Reid,Fremantle,0,5.1,9.65,36,39,0,0,77,4,2,6,50,124,1,2,2,2,2,1,0,0,3,0,0,2,1,0,0,3,2,7,0
