MatchId,Player,Team,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
20251701,Izak Rankine,Adelaide,10,26.1,13.15,131,100,2.93,94,90,11,5,16,87.5,322,3,10,6,7,4,3,25,2,4,0,2,6,5,1,1,7,4,16,0
20251701,Jake Melksham,Melbourne,0,19,8.12,88,62,0.02,0,76,6,2,8,87.5,184,2,5,2,5,2,2,0,0,3,0,1,5,4,1,0,7,1,5,0
20251701,Jake Soligo,Adelaide,4,15.9,11.21,102,95,0.49,1,76,12,9,21,85.7,393,5,9,6,3,3,3,71,6,6,1,0,0,0,0,0,5,6,26,0
20251701,Sam Berry,Adelaide,0,14.1,10.36,106,80,0.03,0,75,6,10,16,75,158,2,11,10,6,5,3,71,4,2,0,0,0,0,0,1,4,9,23,0
20251701,Kysaiah Pickett,Melbourne,5,13.9,12.52,94,95,0.86,3,85,14,10,24,54.2,557,8,11,9,7,5,3,79,3,3,0,1,5,2,2,1,9,2,15,0
20251701,Jordan Dawson,Adelaide,0,13.7,13.83,98,94,0.28,0,84,13,12,25,72,418,5,8,5,5,3,3,68,3,4,0,2,0,0,0,0,5,7,23,0
20251701,James Peatling,Adelaide,0,13.5,10.04,93,90,0.16,0,71,14,11,25,72,483,6,11,6,4,4,3,61,6,5,0,0,0,0,0,2,5,2,10,0
20251701,Trent Rivers,Melbourne,0,13.5,11.08,110,90,0.03,0,84,14,9,23,82.6,492,2,5,4,4,4,4,0,1,5,0,0,2,1,1,0,7,2,10,0
20251701,Mark Keane,Adelaide,0,11.5,10.4,102,70,0.03,0,93,12,5,17,82.4,199,0,8,5,7,4,12,0,1,5,4,1,0,0,0,0,4,4,9,0
20251701,Jake Lever,Melbourne,0,11.1,9.05,88,68,0.01,0,87,9,5,14,92.9,210,0,4,2,3,1,6,0,1,10,4,1,0,0,0,0,2,0,8,0
20251701,Harvey Langford,Melbourne,0,11,9.34,82,61,0,0,78,9,8,17,88.2,313,2,6,6,3,3,3,0,3,2,0,0,0,0,0,0,4,3,8,0
