MatchId,Player,Team,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
20251601,Miles Bergman,Port Adelaide,6,19.2,9.12,121,120,1.66,23,85,16,9,25,64,463,6,10,7,2,2,1,89,5,8,0,0,3,2,0,0,6,5,17,0
20251601,Zak Butters,Port Adelaide,10,18,15.47,123,79,2.51,61,84,11,19,30,76.7,580,9,9,5,2,1,2,75,6,4,0,0,0,0,0,4,12,1,8,0
20251601,Esava Ratugolea,Port Adelaide,2,17.9,8.06,97,50,0.01,0,97,10,3,13,84.6,344,0,10,4,10,4,11,0,0,6,4,3,0,0,0,0,1,0,2,0
20251601,Connor Rozee,Port Adelaide,7,17.2,12.59,150,120,0.8,8,92,25,5,30,90,519,0,5,3,4,2,5,0,2,11,2,1,0,0,0,0,8,1,13,0
20251601,Zac Williams,Carlton,0,16.6,9.79,77,54,0,0,85,9,9,18,77.8,290,1,11,11,4,4,1,36,5,1,0,0,2,1,0,1,3,0,6,0
20251601,George Hewett,Carlton,0,16.2,13.77,120,89,0.01,0,85,6,15,21,76.2,184,3,11,8,1,1,1,75,5,3,1,0,0,0,0,0,6,9,25,0
20251601,Travis Boak,Port Adelaide,0,15.3,8.07,91,74,0.01,0,79,7,14,21,85.7,207,3,6,4,4,3,2,11,2,3,0,0,1,1,0,1,8,2,19,0
20251601,Patrick Cripps,Carlton,0,14.5,14.31,93,58,0.01,0,81,7,10,17,82.4,191,2,11,6,1,1,1,75,8,0,0,0,2,1,0,0,8,4,11,0
20251601,Mitch Georgiades,Port Adelaide,5,14,7.1,124,78,0.89,9,91,10,1,11,54.5,289,1,5,1,5,1,1,0,0,6,0,2,7,5,2,0,9,1,2,0
20251601,Darcy Byrne-Jones,Port Adelaide,0,13,8.01,108,67,0.01,0,73,5,9,14,78.6,225,2,5,4,4,3,2,0,1,4,0,0,3,2,1,1,8,2,8,0
20251601,Oliver Hollands,Carlton,0,12.5,7.18,76,72,0,0,85,8,10,18,88.9,267,1,5,2,3,2,3,4,2,2,0,0,1,1,0,0,8,4,32,0
20251601,Cooper Lord,Carlton,0,11.3,7.19,60,63,0,0,79,9,7,16,56.3,387,6,5,3,3,2,3,29,2,3,0,1,0,0,0,0,4,3,24,0
