Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
10,Harry Perryman,Collingwood,Gen. Defender,20251003,0,10.3,8.89,78,51,0.01,0,78,9,7,16,62.5,237,2,7,5,7,5,6,0,0,4,2,0,0,0,0,0,3,0,7,0
10,Darcy Cameron,Collingwood,Ruck,20251003,0,10.1,12.85,107,83,0.01,0,83,9,4,13,61.5,209,3,7,5,4,3,6,88,2,5,3,0,1,1,0,0,2,2,10,21
10,Brayden Maynard,Collingwood,Gen. Defender,20251003,0,9.4,9.15,117,90,0.03,0,87,14,10,24,70.8,582,6,7,5,6,4,6,0,0,4,0,0,0,0,0,0,5,4,15,0
10,Dan Houston,Collingwood,Gen. Defender,20251003,0,8.6,11.53,94,76,0.02,0,79,10,5,15,86.7,382,1,6,4,6,4,6,0,0,6,2,2,1,1,0,0,2,3,12,0
10,Jamie Elliott,Collingwood,Gen. Forward,20251003,0,8.5,8.53,78,64,0.01,0,79,10,4,14,64.3,262,3,8,5,8,5,0,4,1,4,0,1,4,1,2,0,7,1,12,0
10,Brody Mihocek,Collingwood,Key Forward,20251003,0,7.8,7.27,33,24,0.0,0,87,3,3,6,66.7,86,2,5,3,4,2,0,0,0,3,0,1,1,1,0,0,3,0,5,0
10,Scott Pendlebury,Collingwood,Midfielder,20251003,0,7.2,11.61,92,74,0.04,0,77,11,11,22,77.3,158,1,6,5,3,3,3,58,1,3,0,0,1,0,1,1,6,2,12,0
10,Will Hoskin-Elliott,Collingwood,Gen. Forward,20251003,0,7.1,6.82,63,63,0.01,0,84,9,2,11,72.7,236,1,2,0,1,0,0,0,0,5,0,0,2,2,0,0,4,1,4,0
10,Beau McCreery,Collingwood,Gen. Forward,20251003,0,7.0,8.38,67,67,0.01,0,81,9,3,12,50.0,409,6,5,1,4,1,3,25,3,2,0,0,3,1,1,0,8,6,24,0
10,Tim Membrey,Collingwood,Key Forward,20251003,0,6.9,6.55,52,54,0.01,0,87,8,2,10,70.0,182,2,5,3,5,3,1,0,0,5,0,2,3,1,0,1,5,1,10,0
10,Isaac Quaynor,Collingwood,Gen. Defender,20251003,0,6.4,6.8,63,49,0.01,0,77,8,9,17,58.8,282,0,8,6,7,5,6,0,0,1,0,0,0,0,0,0,3,2,15,0
10,Nick Daicos,Collingwood,Midfielder,20251003,0,6.1,14.97,95,88,0.89,14,84,11,17,28,75.0,384,6,8,6,2,2,2,71,7,3,1,0,0,0,0,0,4,3,8,0
10,Lachlan Sullivan,Collingwood,Gen. Forward,20251003,0,3.8,8.06,32,39,0.0,0,77,6,4,10,20.0,152,0,6,4,2,2,2,21,2,0,0,0,1,0,0,0,2,3,15,0
10,Mason Cox,Collingwood,Key Forward,20251003,0,3.0,7.27,23,18,0.0,0,56,2,2,4,50.0,83,1,4,2,4,2,0,12,0,2,0,2,0,0,0,0,1,0,4,5
10,Edward Allan,Collingwood,Midfielder,20251003,0,1.6,8.61,55,57,0.0,0,78,9,4,13,69.2,287,2,4,3,4,3,4,0,0,4,1,0,1,0,0,0,5,3,8,0
10,Bobby Hill,Collingwood,Gen. Forward,20251003,0,1.5,8.7,48,35,0.0,0,76,6,0,6,66.7,141,1,2,1,1,0,1,0,0,1,0,0,3,1,1,1,4,4,9,0
10,Patrick Lipinski,Collingwood,Mid-Forward,20251003,0,-0.7,3.83,11,24,0.0,0,16,3,2,5,40.0,101,0,1,1,1,1,1,0,0,2,0,0,1,0,1,0,2,1,4,0
11,Ned Long,Collingwood,Midfielder,20251105,8,20.6,10.03,134,132,1.66,21,79,8,21,29,79.3,344,4,13,7,4,3,3,78,6,2,0,0,1,0,0,2,15,14,30,0
11,Jamie Elliott,Collingwood,Gen. Forward,20251105,8,16.4,8.65,109,96,1.7,23,72,9,2,11,72.7,239,2,2,1,0,0,0,0,2,5,0,0,6,5,0,0,8,5,11,0
11,Beau McCreery,Collingwood,Gen. Forward,20251105,0,16.3,8.31,76,65,0.0,0,80,9,5,14,78.6,484,8,6,6,2,2,0,22,3,4,0,0,0,0,0,1,7,4,24,0
11,Nick Daicos,Collingwood,Midfielder,20251105,8,16.2,14.46,107,129,2.44,56,86,22,16,38,60.5,736,12,7,5,1,1,0,70,5,6,0,0,0,0,0,2,12,4,12,0
11,Isaac Quaynor,Collingwood,Gen. Defender,20251105,2,15.1,6.72,109,99,0.04,0,89,12,11,23,82.6,430,1,8,5,5,4,10,0,2,8,4,1,0,0,0,0,4,5,8,0
11,Brody Mihocek,Collingwood,Key Forward,20251105,0,13.2,7.17,87,74,0.01,0,83,9,7,16,56.3,253,1,11,9,10,8,0,0,1,2,0,0,6,2,3,1,11,3,6,1
11,Billy Frampton,Collingwood,Key Defender,20251105,2,12.7,7.53,61,30,0.0,0,100,5,3,8,75.0,178,0,4,1,4,1,5,0,0,4,3,2,0,0,0,0,3,0,2,0
11,Jack Crisp,Collingwood,Midfielder,20251105,0,12.6,12.46,126,101,0.01,0,79,10,6,16,75.0,343,5,6,5,4,4,4,48,0,5,0,0,3,1,1,3,11,10,27,0
11,Tim Membrey,Collingwood,Key Forward,20251105,0,12.1,6.73,81,79,0.01,0,87,8,2,10,80.0,229,1,4,2,4,2,0,0,0,7,0,2,5,3,2,0,8,2,11,2
11,Edward Allan,Collingwood,Midfielder,20251105,0,11.6,7.64,82,94,0.01,0,85,8,16,24,79.2,274,2,8,7,7,6,6,0,1,3,0,0,1,0,0,1,7,8,14,0
11,Lachlan Sullivan,Collingwood,Gen. Forward,20251105,0,11.4,7.74,47,31,0.0,0,84,6,4,10,70.0,252,4,4,3,2,2,1,4,2,0,0,0,2,1,1,1,6,0,16,0
11,Dan Houston,Collingwood,Gen. Defender,20251105,0,10.9,11.17,74,71,0.0,0,84,10,5,15,86.7,224,1,2,2,2,2,5,0,0,6,3,0,0,0,0,0,5,4,11,0
11,Harry Perryman,Collingwood,Gen. Defender,20251105,0,10.8,8.38,74,71,0.02,0,71,8,10,18,72.2,312,4,9,5,1,0,1,67,6,1,0,0,2,1,1,0,5,5,21,0
11,Oleg Markov,Collingwood,Gen. Defender,20251105,0,10.7,3.02,51,48,0.0,0,68,6,7,13,84.6,217,1,4,4,4,4,4,0,0,3,0,0,1,1,0,0,5,1,3,0
11,Josh Daicos,Collingwood,Gen. Defender,20251105,0,10.3,10.01,90,101,0.04,0,83,18,13,31,67.7,644,3,6,6,2,2,3,11,3,4,0,0,0,0,0,0,9,2,6,0
11,Jeremy Howe,Collingwood,Gen. Defender,20251105,0,10.1,9.64,67,37,0.0,0,90,10,1,11,81.8,331,0,2,1,2,1,3,0,0,0,0,0,1,0,0,0,4,2,3,0
11,Patrick Lipinski,Collingwood,Mid-Forward,20251105,0,7.1,8.73,59,71,0.0,0,88,10,6,16,68.8,313,4,5,4,2,2,3,0,3,4,1,0,0,0,0,1,7,4,9,0
11,Wil Parker,Collingwood,Gen. Defender,20251105,0,6.7,6.88,39,28,0.0,0,78,4,3,7,85.7,123,2,1,1,1,1,2,0,0,2,1,0,0,0,0,0,1,1,7,0
11,Will Hoskin-Elliott,Collingwood,Gen. Forward,20251105,0,6.6,6.81,59,52,0.0,0,83,5,4,9,77.8,102,0,5,4,5,4,3,0,0,2,0,0,2,1,1,0,6,4,12,0
11,Darcy Cameron,Collingwood,Ruck,20251105,0,5.0,12.69,70,76,0.0,0,78,7,8,15,66.7,53,2,7,5,4,3,6,67,3,3,2,1,1,0,1,0,4,3,6,18
11,William Hayes,Collingwood,Gen. Forward,20251105,0,1.7,5.72,44,52,0.0,0,75,6,1,7,71.4,175,1,2,0,2,0,1,0,0,3,0,0,1,0,0,0,2,6,20,0
11,Brayden Maynard,Collingwood,Gen. Defender,20251105,0,1.5,9.18,11,10,0.0,0,9,2,0,2,100.0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
11,Mason Cox,Collingwood,Key Forward,20251105,0,-1.0,7.01,18,28,0.0,0,69,2,1,3,33.3,39,0,2,0,1,0,1,33,0,2,1,0,0,0,0,0,2,2,10,8
12,Jamie Elliott,Collingwood,Gen. Forward,20251202,9,18.8,8.66,137,86,1.79,30,87,9,3,12,83.3,222,2,6,4,6,4,1,0,0,5,0,0,6,5,1,2,10,2,8,0
12,Steele Sidebottom,Collingwood,Midfielder,20251202,9,17.9,9.99,146,129,1.9,33,89,18,9,27,77.8,594,3,3,2,2,2,3,36,2,8,1,0,3,2,1,1,6,5,18,0
12,Nick Daicos,Collingwood,Midfielder,20251202,3,17.3,14.57,116,128,1.73,29,86,16,16,32,68.8,496,3,9,7,5,4,4,89,4,7,0,1,1,1,0,1,10,6,21,0
12,Bobby Hill,Collingwood,Gen. Forward,20251202,0,17.1,8.37,79,62,0.0,0,74,8,6,14,85.7,193,2,4,3,3,2,1,0,1,5,1,1,3,1,1,2,7,1,10,0
12,Jack Crisp,Collingwood,Midfielder,20251202,0,16.5,12.43,108,71,0.01,0,76,10,6,16,68.8,400,2,10,7,3,3,4,25,6,2,0,0,2,0,2,1,4,5,19,0
12,Brody Mihocek,Collingwood,Key Forward,20251202,3,14.8,7.61,111,93,0.23,4,85,10,2,12,66.7,208,0,6,2,5,2,1,0,1,6,1,0,6,4,1,0,7,4,5,2
12,Darcy Cameron,Collingwood,Ruck,20251202,0,11.4,12.26,110,108,0.02,0,81,11,5,16,75.0,264,4,11,5,2,2,5,79,6,4,2,0,0,0,0,0,6,6,15,32
12,Edward Allan,Collingwood,Midfielder,20251202,0,10.8,8.25,84,80,0.01,0,78,11,12,23,73.9,330,2,8,7,4,4,5,0,3,5,1,0,0,0,0,0,3,2,12,0
12,Darcy Moore,Collingwood,Key Defender,20251202,0,10.1,11.17,42,28,0.0,0,91,3,4,7,85.7,63,0,3,3,3,3,5,0,0,2,1,0,0,0,0,0,1,2,4,0
12,Isaac Quaynor,Collingwood,Gen. Defender,20251202,1,10.0,6.79,72,74,0.01,0,80,10,10,20,85.0,273,2,7,5,7,5,9,0,0,6,3,1,0,0,0,0,3,2,13,0
12,Jeremy Howe,Collingwood,Gen. Defender,20251202,0,9.3,9.69,61,47,0.0,0,86,10,0,10,70.0,210,0,2,1,2,1,6,0,0,4,3,0,0,0,0,0,2,1,2,0
12,Dan Houston,Collingwood,Gen. Defender,20251202,0,9.3,11.15,108,81,0.01,0,79,16,5,21,76.2,328,3,6,3,5,2,6,0,0,4,2,0,0,0,0,1,3,2,12,0
12,Scott Pendlebury,Collingwood,Midfielder,20251202,0,8.7,11.33,92,99,0.02,0,73,11,11,22,77.3,244,2,5,5,2,2,1,61,2,7,0,0,0,0,0,0,7,8,23,0
12,Josh Daicos,Collingwood,Gen. Defender,20251202,0,8.4,9.96,81,100,0.01,0,88,15,9,24,83.3,357,2,1,1,0,0,0,0,2,8,0,0,1,0,1,0,7,3,14,0
12,Patrick Lipinski,Collingwood,Mid-Forward,20251202,0,7.7,8.71,92,61,0.01,0,49,6,5,11,90.9,264,4,0,0,0,0,0,0,0,3,0,0,2,2,0,2,8,3,12,0
12,Lachlan Sullivan,Collingwood,Gen. Forward,20251202,0,4.4,3.74,17,23,0.0,0,27,3,2,5,100.0,140,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,2,1,4,0
12,Ned Long,Collingwood,Midfielder,20251202,2,4.2,11.11,93,101,0.1,2,79,8,16,24,62.5,245,5,10,9,5,5,2,71,3,4,0,0,0,0,0,2,10,11,25,0
12,Beau McCreery,Collingwood,Gen. Forward,20251202,0,4.0,8.78,42,51,0.0,0,80,4,7,11,54.5,145,1,4,3,4,3,1,14,0,0,0,0,0,0,0,0,2,6,23,0
12,Lachie Schultz,Collingwood,Gen. Forward,20251202,0,2.5,8.14,62,64,0.0,0,70,6,7,13,69.2,105,2,6,4,5,3,5,0,0,4,0,0,1,0,0,0,6,6,14,0
12,Will Hoskin-Elliott,Collingwood,Gen. Forward,20251202,0,2.3,6.84,36,38,0.0,0,76,4,4,8,62.5,87,1,3,3,3,3,0,0,0,3,0,0,1,0,1,0,4,2,4,0
12,Harry Perryman,Collingwood,Gen. Defender,20251202,0,0.9,8.93,70,65,0.0,0,84,11,2,13,84.6,417,2,2,2,2,2,3,0,0,7,1,0,0,0,0,0,3,4,11,0
12,Billy Frampton,Collingwood,Key Defender,20251202,0,0.3,7.9,20,16,0.0,0,93,2,2,4,100.0,5,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,1,0,2,3
12,Tim Membrey,Collingwood,Key Forward,20251202,0,-1.4,6.94,28,45,0.0,0,90,5,4,9,55.6,85,0,1,1,1,1,0,0,0,5,0,0,2,1,1,0,3,0,2,0
13,Jeremy Howe,Collingwood,Gen. Defender,20251308,8,20.3,9.59,155,111,0.93,15,91,21,5,26,76.9,582,1,12,7,12,7,14,0,0,5,3,2,0,0,0,0,1,5,11,0
13,Jack Crisp,Collingwood,Midfielder,20251308,0,20.0,12.6,107,93,0.03,0,86,11,10,21,81.0,412,4,9,8,5,5,3,17,3,4,1,0,0,0,0,0,2,7,21,0
13,Steele Sidebottom,Collingwood,Midfielder,20251308,2,17.3,10.3,122,95,0.37,5,86,13,12,25,84.0,425,2,7,5,4,4,6,33,2,8,2,0,1,1,0,0,2,1,15,0
13,Josh Daicos,Collingwood,Gen. Defender,20251308,10,16.0,9.34,122,128,2.07,42,78,25,9,34,85.3,545,2,6,6,6,6,8,0,2,11,0,0,0,0,0,1,7,2,8,0
13,Dan Houston,Collingwood,Gen. Defender,20251308,0,11.4,10.97,86,82,0.01,0,78,11,7,18,83.3,323,4,6,6,3,3,2,0,4,5,0,0,0,0,0,1,2,5,13,0
13,Daniel McStay,Collingwood,Key Forward,20251308,0,10.8,6.35,62,47,0.0,0,64,4,2,6,83.3,124,0,2,1,2,1,0,17,0,2,0,1,2,2,0,0,2,3,13,1
13,Darcy Cameron,Collingwood,Ruck,20251308,0,10.0,12.22,113,94,0.04,0,82,10,6,16,75.0,100,2,10,2,5,0,6,83,2,9,5,4,0,0,0,1,3,2,12,19
13,Nick Daicos,Collingwood,Midfielder,20251308,0,9.4,14.61,95,83,0.35,5,90,14,5,19,63.2,431,6,9,4,2,1,1,83,8,3,0,0,2,1,1,0,4,4,15,0
13,Harry Perryman,Collingwood,Gen. Defender,20251308,0,9.4,8.53,78,70,0.01,0,82,15,4,19,63.2,436,3,7,3,7,3,9,0,0,5,0,0,0,0,0,0,1,1,8,0
13,Tim Membrey,Collingwood,Key Forward,20251308,0,9.1,6.57,84,63,0.0,0,82,8,5,13,92.3,115,1,5,3,5,3,0,0,0,6,0,0,1,1,0,1,3,1,5,0
13,Beau McCreery,Collingwood,Gen. Forward,20251308,0,9.0,8.51,62,48,0.01,0,83,9,4,13,76.9,396,4,5,2,2,2,1,42,2,1,0,0,2,1,0,0,4,2,20,0
