Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
2,Trent Rivers,Melbourne,Gen. Defender,16.0,10.0,6.0,0.62,0.38,4.0,0.0,2.0,-5.35,-3.17,-2.17,-1.43
2,Xavier Lindsay,Melbourne,Midfielder,20.0,8.0,12.0,0.4,0.6,2.0,0.0,6.0,6.44,0.28,6.17,-1.17
3,Aidan Johnson,Melbourne,Key Forward,5.0,2.0,3.0,0.4,0.6,1.0,0.0,4.0,-0.4,-1.0,0.6,0.0
3,Bayley Fritsch,Melbourne,Gen. Forward,15.0,10.0,5.0,0.67,0.33,5.0,0.0,2.0,2.46,2.5,-0.04,0.32
3,Blake Howes,Melbourne,Gen. Defender,9.0,7.0,2.0,0.78,0.22,1.0,0.0,2.0,-1.83,1.75,-3.58,-2.33
3,Christian Petracca,Melbourne,Mid-Forward,23.0,9.0,14.0,0.39,0.61,3.0,1.0,3.0,-2.48,-2.52,0.04,-0.56
3,Christian Salem,Melbourne,Gen. Defender,20.0,14.0,6.0,0.7,0.3,9.0,0.0,1.0,-2.91,-2.17,-0.74,1.35
3,Clayton Oliver,Melbourne,Midfielder,31.0,13.0,18.0,0.42,0.58,3.0,0.0,6.0,5.45,2.18,3.27,0.14
3,Ed Langdon,Melbourne,Mid-Forward,29.0,13.0,16.0,0.45,0.55,7.0,0.0,4.0,9.96,3.22,6.74,2.0
3,Harrison Petty,Melbourne,Key Forward,11.0,6.0,5.0,0.55,0.45,4.0,0.0,3.0,2.37,0.42,1.95,-0.05
3,Harry Sharp,Melbourne,Gen. Forward,12.0,9.0,3.0,0.75,0.25,3.0,2.0,1.0,5.56,5.06,0.5,1.0
3,Harvey Langford,Melbourne,Midfielder,26.0,10.0,16.0,0.38,0.62,3.0,1.0,1.0,8.05,0.54,7.5,-0.23
3,Jack Billings,Melbourne,Midfielder,14.0,5.0,9.0,0.36,0.64,2.0,0.0,2.0,0.0,0.0,0.0,0.0
3,Jack Henderson,Melbourne,Gen. Forward,11.0,5.0,6.0,0.45,0.55,4.0,0.0,1.0,1.0,0.0,1.0,1.8
3,Jack Viney,Melbourne,Midfielder,19.0,8.0,11.0,0.42,0.58,2.0,0.0,5.0,-2.89,-2.11,-0.78,-0.61
3,Jacob van Rooyen,Melbourne,Key Forward,7.0,3.0,4.0,0.43,0.57,2.0,1.0,2.0,-3.31,-2.25,-1.06,-0.88
