Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
2,Steele Sidebottom,Collingwood,Midfielder,22.0,12.0,10.0,0.55,0.45,1.0,2.0,4.0,0.78,-0.35,1.13,-3.22
2,Tim Membrey,Collingwood,Key Forward,8.0,7.0,1.0,0.88,0.12,2.0,0.0,2.0,-1.78,1.13,-2.91,-2.17
4,Beau McCreery,Collingwood,Gen. Forward,7.0,3.0,4.0,0.43,0.57,1.0,0.0,6.0,-4.26,-3.89,-0.37,-1.1
4,Billy Frampton,Collingwood,Key Defender,9.0,5.0,4.0,0.56,0.44,3.0,0.0,1.0,-1.44,-1.19,-0.25,-1.31
4,Bobby Hill,Collingwood,Gen. Forward,6.0,3.0,3.0,0.5,0.5,1.0,0.0,4.0,-2.86,-3.07,0.21,-1.57
4,Brayden Maynard,Collingwood,Gen. Defender,16.0,10.0,6.0,0.62,0.38,1.0,1.0,3.0,-0.05,-1.7,1.65,-3.75
4,Brody Mihocek,Collingwood,Key Forward,10.0,7.0,3.0,0.7,0.3,7.0,0.0,1.0,0.41,0.32,0.09,3.23
4,Dan Houston,Collingwood,Gen. Defender,23.0,17.0,6.0,0.74,0.26,4.0,0.0,1.0,6.14,6.05,0.09,0.43
4,Daniel McStay,Collingwood,Key Forward,9.0,7.0,2.0,0.78,0.22,2.0,0.0,7.0,-0.72,1.0,-1.72,-1.44
4,Darcy Cameron,Collingwood,Ruck,22.0,16.0,6.0,0.73,0.27,6.0,0.0,5.0,4.36,5.28,-0.92,0.88
4,Darcy Moore,Collingwood,Key Defender,17.0,8.0,9.0,0.47,0.53,3.0,0.0,0.0,6.36,2.59,3.77,-1.5
4,Harry Perryman,Collingwood,Gen. Defender,20.0,10.0,10.0,0.5,0.5,2.0,1.0,8.0,4.68,0.12,4.56,-2.08
4,Isaac Quaynor,Collingwood,Gen. Defender,5.0,4.0,1.0,0.8,0.2,3.0,0.0,4.0,-9.04,-4.68,-4.36,-1.84
4,Jack Crisp,Collingwood,Midfielder,22.0,10.0,12.0,0.45,0.55,6.0,0.0,1.0,1.96,-1.4,3.36,1.76
4,Jamie Elliott,Collingwood,Gen. Forward,9.0,3.0,6.0,0.33,0.67,1.0,0.0,7.0,-3.08,-5.24,2.16,-4.08
4,Jeremy Howe,Collingwood,Gen. Defender,10.0,9.0,1.0,0.9,0.1,4.0,0.0,1.0,-2.53,-1.16,-1.37,-0.16
4,Jordan De Goey,Collingwood,Mid-Forward,8.0,5.0,3.0,0.62,0.38,3.0,2.0,2.0,-7.0,-3.36,-3.64,0.54
4,Josh Daicos,Collingwood,Gen. Defender,31.0,16.0,15.0,0.52,0.48,5.0,0.0,3.0,4.16,-0.92,5.08,0.08
4,Lachie Schultz,Collingwood,Gen. Forward,18.0,11.0,7.0,0.61,0.39,7.0,2.0,7.0,3.5,3.0,0.5,2.12
4,Ned Long,Collingwood,Midfielder,,,,,,,,,,,,
4,Nick Daicos,Collingwood,Midfielder,27.0,12.0,15.0,0.44,0.56,1.0,0.0,4.0,-3.0,-4.76,1.76,-3.04
4,Patrick Lipinski,Collingwood,Mid-Forward,20.0,9.0,11.0,0.45,0.55,3.0,0.0,2.0,2.83,0.13,2.7,-0.61
4,Scott Pendlebury,Collingwood,Midfielder,29.0,8.0,21.0,0.28,0.72,3.0,0.0,7.0,6.91,-2.64,9.54,-1.04
4,Steele Sidebottom,Collingwood,Midfielder,24.0,14.0,10.0,0.58,0.42,2.0,0.0,7.0,2.78,1.65,1.13,-2.22
4,Tim Membrey,Collingwood,Key Forward,12.0,5.0,7.0,0.42,0.58,0.0,1.0,1.0,2.22,-0.87,3.09,-4.17
5,Beau McCreery,Collingwood,Gen. Forward,9.0,9.0,0.0,1.0,0.0,3.0,2.0,4.0,-2.26,2.11,-4.37,0.9
5,Billy Frampton,Collingwood,Key Defender,10.0,6.0,4.0,0.6,0.4,3.0,0.0,1.0,-0.44,-0.19,-0.25,-1.31
5,Bobby Hill,Collingwood,Gen. Forward,12.0,7.0,5.0,0.58,0.42,1.0,3.0,1.0,3.14,0.93,2.21,-1.57
5,Brayden Maynard,Collingwood,Gen. Defender,11.0,10.0,1.0,0.91,0.09,4.0,0.0,2.0,-5.05,-1.7,-3.35,-0.75
5,Brody Mihocek,Collingwood,Key Forward,8.0,6.0,2.0,0.75,0.25,4.0,3.0,2.0,-1.59,-0.68,-0.91,0.23
