Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
3,Charlie Comben,North Melbourne,13.0,12.0,1.0,0.92,0.08,7.0,0.0,2.0,Key Defender
3,Colby McKercher,North Melbourne,19.0,14.0,5.0,0.74,0.26,8.0,0.0,0.0,Gen. Defender
3,Darcy Tucker,North Melbourne,19.0,12.0,7.0,0.63,0.37,4.0,0.0,3.0,Gen. Defender
3,Dylan Stephens,North Melbourne,,,,,,,,,Midfielder
3,Finn O'Sullivan,North Melbourne,16.0,8.0,8.0,0.5,0.5,5.0,0.0,0.0,Gen. Defender
3,Harry Sheezel,North Melbourne,26.0,11.0,15.0,0.42,0.58,2.0,0.0,5.0,Mid-Forward
3,Jack Darling,North Melbourne,11.0,8.0,3.0,0.73,0.27,4.0,1.0,2.0,Key Forward
3,Jacob Konstanty,North Melbourne,7.0,3.0,4.0,0.43,0.57,3.0,2.0,1.0,Gen. Forward
3,Jy Simpkin,North Melbourne,31.0,22.0,9.0,0.71,0.29,7.0,1.0,1.0,Mid-Forward
3,Luke Davies-Uniacke,North Melbourne,19.0,11.0,8.0,0.58,0.42,5.0,0.0,2.0,Midfielder
3,Luke McDonald,North Melbourne,15.0,8.0,7.0,0.53,0.47,4.0,0.0,4.0,Gen. Defender
3,Luke Parker,North Melbourne,21.0,10.0,11.0,0.48,0.52,3.0,0.0,6.0,Midfielder
3,Nick Larkey,North Melbourne,11.0,9.0,2.0,0.82,0.18,5.0,4.0,0.0,Key Forward
3,Paul Curtis,North Melbourne,9.0,5.0,4.0,0.56,0.44,3.0,2.0,4.0,Gen. Forward
3,Robert Hansen Jr,North Melbourne,,,,,,,,,Mid-Forward
3,Toby Pink,North Melbourne,13.0,11.0,2.0,0.85,0.15,6.0,0.0,1.0,Key Defender
3,Tom Powell,North Melbourne,21.0,8.0,13.0,0.38,0.62,4.0,0.0,3.0,Midfielder
3,Tristan Xerri,North Melbourne,17.0,4.0,13.0,0.24,0.76,1.0,0.0,4.0,Ruck
3,Will Phillips,North Melbourne,12.0,4.0,8.0,0.33,0.67,2.0,0.0,2.0,Midfielder
4,Aidan Corr,North Melbourne,18.0,12.0,6.0,0.67,0.33,5.0,0.0,3.0,Key Defender
4,Bailey Scott,North Melbourne,12.0,7.0,5.0,0.58,0.42,4.0,0.0,0.0,Midfielder
4,Caleb Daniel,North Melbourne,25.0,15.0,10.0,0.6,0.4,5.0,0.0,2.0,Gen. Defender
4,Cameron Zurhaar,North Melbourne,12.0,9.0,3.0,0.75,0.25,8.0,1.0,0.0,Gen. Forward
4,Charlie Comben,North Melbourne,15.0,5.0,10.0,0.33,0.67,3.0,0.0,1.0,Key Defender
4,Colby McKercher,North Melbourne,22.0,13.0,9.0,0.59,0.41,4.0,1.0,1.0,Gen. Defender
4,Darcy Tucker,North Melbourne,20.0,13.0,7.0,0.65,0.35,8.0,0.0,1.0,Gen. Defender
4,Dylan Stephens,North Melbourne,18.0,8.0,10.0,0.44,0.56,7.0,0.0,1.0,Midfielder
4,Griffin Logue,North Melbourne,13.0,9.0,4.0,0.69,0.31,7.0,0.0,2.0,Key Defender
4,Harry Sheezel,North Melbourne,34.0,19.0,15.0,0.56,0.44,9.0,0.0,3.0,Mid-Forward
4,Jack Darling,North Melbourne,6.0,3.0,3.0,0.5,0.5,3.0,0.0,1.0,Key Forward
4,Jacob Konstanty,North Melbourne,16.0,8.0,8.0,0.5,0.5,4.0,0.0,1.0,Gen. Forward
4,Jy Simpkin,North Melbourne,22.0,13.0,9.0,0.59,0.41,4.0,0.0,4.0,Mid-Forward
4,Luke Davies-Uniacke,North Melbourne,25.0,14.0,11.0,0.56,0.44,6.0,0.0,5.0,Midfielder
4,Luke McDonald,North Melbourne,18.0,10.0,8.0,0.56,0.44,7.0,0.0,1.0,Gen. Defender
4,Luke Parker,North Melbourne,27.0,11.0,16.0,0.41,0.59,3.0,2.0,8.0,Midfielder
4,Matt Whitlock,North Melbourne,,,,,,,,,Key Defender
4,Nick Larkey,North Melbourne,9.0,4.0,5.0,0.44,0.56,3.0,2.0,0.0,Key Forward
4,Paul Curtis,North Melbourne,14.0,9.0,5.0,0.64,0.36,6.0,2.0,5.0,Gen. Forward
4,Riley Hardeman,North Melbourne,,,,,,,,,Gen. Defender
4,Robert Hansen Jr,North Melbourne,7.0,6.0,1.0,0.86,0.14,5.0,0.0,0.0,Mid-Forward
4,Tom Powell,North Melbourne,22.0,10.0,12.0,0.45,0.55,6.0,0.0,5.0,Midfielder
4,Tristan Xerri,North Melbourne,18.0,6.0,12.0,0.33,0.67,2.0,0.0,3.0,Ruck
5,Aidan Corr,North Melbourne,14.0,10.0,4.0,0.71,0.29,2.0,0.0,1.0,Key Defender
5,Caleb Daniel,North Melbourne,32.0,16.0,16.0,0.5,0.5,3.0,0.0,2.0,Gen. Defender
5,Cameron Zurhaar,North Melbourne,9.0,5.0,4.0,0.56,0.44,2.0,1.0,4.0,Gen. Forward
5,Charlie Comben,North Melbourne,10.0,7.0,3.0,0.7,0.3,6.0,0.0,1.0,Key Defender
5,Colby McKercher,North Melbourne,8.0,4.0,4.0,0.5,0.5,3.0,0.0,0.0,Gen. Defender
5,Darcy Tucker,North Melbourne,21.0,11.0,10.0,0.52,0.48,4.0,0.0,0.0,Gen. Defender
5,Dylan Stephens,North Melbourne,21.0,13.0,8.0,0.62,0.38,7.0,0.0,3.0,Midfielder
5,Finn O'Sullivan,North Melbourne,15.0,8.0,7.0,0.53,0.47,1.0,0.0,3.0,Gen. Defender
5,Griffin Logue,North Melbourne,11.0,5.0,6.0,0.45,0.55,4.0,0.0,3.0,Key Defender
5,Harry Sheezel,North Melbourne,27.0,12.0,15.0,0.44,0.56,4.0,1.0,4.0,Mid-Forward
5,Jack Darling,North Melbourne,16.0,9.0,7.0,0.56,0.44,5.0,2.0,4.0,Key Forward
5,Jacob Konstanty,North Melbourne,,,,,,,,,Gen. Forward
5,Jy Simpkin,North Melbourne,24.0,13.0,11.0,0.54,0.46,6.0,2.0,4.0,Mid-Forward
5,Luke Davies-Uniacke,North Melbourne,26.0,17.0,9.0,0.65,0.35,7.0,0.0,4.0,Midfielder
5,Luke McDonald,North Melbourne,12.0,6.0,6.0,0.5,0.5,2.0,0.0,3.0,Gen. Defender
5,Luke Parker,North Melbourne,24.0,9.0,15.0,0.38,0.62,2.0,0.0,3.0,Midfielder
5,Nick Larkey,North Melbourne,12.0,8.0,4.0,0.67,0.33,3.0,2.0,1.0,Key Forward
5,Paul Curtis,North Melbourne,14.0,8.0,6.0,0.57,0.43,3.0,2.0,4.0,Gen. Forward
5,Riley Hardeman,North Melbourne,,,,,,,,,Gen. Defender
5,Tom Powell,North Melbourne,20.0,9.0,11.0,0.45,0.55,2.0,0.0,7.0,Midfielder
5,Tristan Xerri,North Melbourne,9.0,3.0,6.0,0.33,0.67,1.0,0.0,6.0,Ruck
5,Zac Fisher,North Melbourne,27.0,12.0,15.0,0.44,0.56,0.0,0.0,0.0,Gen. Forward
5,Zane Duursma,North Melbourne,,,,,,,,,Gen. Forward
6,Aidan Corr,North Melbourne,18.0,12.0,6.0,0.67,0.33,7.0,0.0,1.0,Key Defender
6,Caleb Daniel,North Melbourne,24.0,15.0,9.0,0.62,0.38,2.0,0.0,4.0,Gen. Defender
6,Cameron Zurhaar,North Melbourne,11.0,8.0,3.0,0.73,0.27,2.0,1.0,0.0,Gen. Forward
6,Charlie Comben,North Melbourne,15.0,10.0,5.0,0.67,0.33,8.0,0.0,1.0,Key Defender
6,Colby McKercher,North Melbourne,16.0,9.0,7.0,0.56,0.44,4.0,0.0,1.0,Gen. Defender
6,Darcy Tucker,North Melbourne,15.0,4.0,11.0,0.27,0.73,4.0,0.0,1.0,Gen. Defender
6,Dylan Stephens,North Melbourne,21.0,11.0,10.0,0.52,0.48,6.0,0.0,1.0,Midfielder
6,Finn O'Sullivan,North Melbourne,10.0,2.0,8.0,0.2,0.8,3.0,0.0,0.0,Gen. Defender
6,George Wardlaw,North Melbourne,,,,,,,,,Midfielder
6,Griffin Logue,North Melbourne,9.0,3.0,6.0,0.33,0.67,1.0,0.0,0.0,Key Defender
6,Harry Sheezel,North Melbourne,32.0,9.0,23.0,0.28,0.72,0.0,0.0,6.0,Mid-Forward
6,Jack Darling,North Melbourne,6.0,4.0,2.0,0.67,0.33,0.0,0.0,3.0,Key Forward
6,Jacob Konstanty,North Melbourne,4.0,1.0,3.0,0.25,0.75,0.0,1.0,3.0,Gen. Forward
6,Jy Simpkin,North Melbourne,20.0,9.0,11.0,0.45,0.55,3.0,0.0,6.0,Mid-Forward
6,Luke Davies-Uniacke,North Melbourne,25.0,11.0,14.0,0.44,0.56,1.0,0.0,3.0,Midfielder
6,Luke McDonald,North Melbourne,13.0,10.0,3.0,0.77,0.23,4.0,0.0,2.0,Gen. Defender
6,Luke Parker,North Melbourne,23.0,12.0,11.0,0.52,0.48,1.0,2.0,1.0,Midfielder
6,Nick Larkey,North Melbourne,7.0,4.0,3.0,0.57,0.43,2.0,1.0,2.0,Key Forward
6,Paul Curtis,North Melbourne,12.0,11.0,1.0,0.92,0.08,5.0,3.0,2.0,Gen. Forward
6,Tom Powell,North Melbourne,19.0,5.0,14.0,0.26,0.74,3.0,1.0,5.0,Midfielder
6,Tristan Xerri,North Melbourne,14.0,2.0,12.0,0.14,0.86,1.0,0.0,11.0,Ruck
6,Zac Fisher,North Melbourne,,,,,,,,,Gen. Forward
6,Zane Duursma,North Melbourne,,,,,,,,,Gen. Forward
7,Caleb Daniel,North Melbourne,22.0,17.0,5.0,0.77,0.23,2.0,0.0,2.0,Gen. Defender
7,Cameron Zurhaar,North Melbourne,11.0,8.0,3.0,0.73,0.27,4.0,2.0,3.0,Gen. Forward
7,Charlie Comben,North Melbourne,7.0,2.0,5.0,0.29,0.71,0.0,0.0,0.0,Key Defender
7,Colby McKercher,North Melbourne,19.0,11.0,8.0,0.58,0.42,1.0,1.0,1.0,Gen. Defender
7,Darcy Tucker,North Melbourne,0.0,0.0,0.0,,,0.0,0.0,3.0,Gen. Defender
7,Dylan Stephens,North Melbourne,15.0,7.0,8.0,0.47,0.53,3.0,0.0,2.0,Midfielder
7,Finn O'Sullivan,North Melbourne,12.0,4.0,8.0,0.33,0.67,2.0,0.0,2.0,Gen. Defender
7,George Wardlaw,North Melbourne,20.0,11.0,9.0,0.55,0.45,1.0,1.0,6.0,Midfielder
7,Harry Sheezel,North Melbourne,30.0,20.0,10.0,0.67,0.33,4.0,0.0,1.0,Mid-Forward
7,Jack Darling,North Melbourne,9.0,5.0,4.0,0.56,0.44,3.0,1.0,3.0,Key Forward
7,Jackson Archer,North Melbourne,12.0,5.0,7.0,0.42,0.58,0.0,0.0,2.0,Gen. Defender
7,Jacob Konstanty,North Melbourne,6.0,4.0,2.0,0.67,0.33,1.0,0.0,2.0,Gen. Forward
7,Jy Simpkin,North Melbourne,19.0,11.0,8.0,0.58,0.42,1.0,0.0,1.0,Mid-Forward
7,Kallan Dawson,North Melbourne,7.0,5.0,2.0,0.71,0.29,2.0,0.0,0.0,Key Defender
7,Luke Davies-Uniacke,North Melbourne,25.0,8.0,17.0,0.32,0.68,2.0,1.0,4.0,Midfielder
7,Luke McDonald,North Melbourne,13.0,8.0,5.0,0.62,0.38,0.0,0.0,3.0,Gen. Defender
7,Luke Parker,North Melbourne,27.0,13.0,14.0,0.48,0.52,4.0,1.0,4.0,Midfielder
7,Nick Larkey,North Melbourne,12.0,7.0,5.0,0.58,0.42,7.0,1.0,1.0,Key Forward
7,Paul Curtis,North Melbourne,16.0,12.0,4.0,0.75,0.25,3.0,3.0,5.0,Gen. Forward
7,Riley Hardeman,North Melbourne,12.0,9.0,3.0,0.75,0.25,1.0,0.0,2.0,Gen. Defender
7,Tom Powell,North Melbourne,19.0,11.0,8.0,0.58,0.42,3.0,1.0,3.0,Midfielder
7,Tristan Xerri,North Melbourne,23.0,10.0,13.0,0.43,0.57,2.0,1.0,3.0,Ruck
7,Zane Duursma,North Melbourne,,,,,,,,,Gen. Forward
8,Bailey Scott,North Melbourne,,,,,,,,,Midfielder
8,Caleb Daniel,North Melbourne,23.0,16.0,7.0,0.7,0.3,6.0,0.0,0.0,Gen. Defender
8,Cameron Zurhaar,North Melbourne,9.0,7.0,2.0,0.78,0.22,3.0,2.0,1.0,Gen. Forward
8,Charlie Comben,North Melbourne,12.0,7.0,5.0,0.58,0.42,3.0,0.0,0.0,Key Defender
8,Colby McKercher,North Melbourne,11.0,6.0,5.0,0.55,0.45,3.0,1.0,2.0,Gen. Defender
8,Dylan Stephens,North Melbourne,25.0,15.0,10.0,0.6,0.4,8.0,0.0,1.0,Midfielder
8,Finn O'Sullivan,North Melbourne,11.0,8.0,3.0,0.73,0.27,2.0,0.0,4.0,Gen. Defender
8,Finnbar Maley,North Melbourne,8.0,5.0,3.0,0.62,0.38,3.0,1.0,2.0,Key Forward
8,Harry Sheezel,North Melbourne,32.0,21.0,11.0,0.66,0.34,9.0,0.0,5.0,Mid-Forward
8,Jack Darling,North Melbourne,5.0,2.0,3.0,0.4,0.6,1.0,0.0,0.0,Key Forward
8,Jackson Archer,North Melbourne,,,,,,,,,Gen. Defender
8,Jacob Konstanty,North Melbourne,5.0,4.0,1.0,0.8,0.2,1.0,0.0,2.0,Gen. Forward
8,Jy Simpkin,North Melbourne,21.0,13.0,8.0,0.62,0.38,4.0,2.0,4.0,Mid-Forward
8,Kallan Dawson,North Melbourne,8.0,3.0,5.0,0.38,0.62,4.0,0.0,2.0,Key Defender
8,Luke Davies-Uniacke,North Melbourne,28.0,9.0,19.0,0.32,0.68,3.0,0.0,6.0,Midfielder
8,Luke McDonald,North Melbourne,14.0,5.0,9.0,0.36,0.64,3.0,0.0,1.0,Gen. Defender
8,Luke Parker,North Melbourne,20.0,9.0,11.0,0.45,0.55,4.0,0.0,6.0,Midfielder
8,Nick Larkey,North Melbourne,10.0,6.0,4.0,0.6,0.4,5.0,2.0,0.0,Key Forward
8,Riley Hardeman,North Melbourne,15.0,12.0,3.0,0.8,0.2,7.0,0.0,2.0,Gen. Defender
8,Tom Powell,North Melbourne,28.0,14.0,14.0,0.5,0.5,2.0,0.0,9.0,Midfielder
8,Tristan Xerri,North Melbourne,25.0,11.0,14.0,0.44,0.56,2.0,0.0,4.0,Ruck
8,Will Phillips,North Melbourne,15.0,5.0,10.0,0.33,0.67,1.0,0.0,9.0,Midfielder
8,Zane Duursma,North Melbourne,9.0,5.0,4.0,0.56,0.44,2.0,1.0,0.0,Gen. Forward
9,Aidan Corr,North Melbourne,12.0,7.0,5.0,0.58,0.42,4.0,0.0,1.0,Key Defender
9,Bailey Scott,North Melbourne,,,,,,,,,Midfielder
9,Caleb Daniel,North Melbourne,18.0,11.0,7.0,0.61,0.39,3.0,0.0,1.0,Gen. Defender
9,Cameron Zurhaar,North Melbourne,15.0,9.0,6.0,0.6,0.4,5.0,2.0,2.0,Gen. Forward
9,Charlie Comben,North Melbourne,21.0,12.0,9.0,0.57,0.43,9.0,0.0,1.0,Key Defender
9,Colby McKercher,North Melbourne,13.0,9.0,4.0,0.69,0.31,1.0,1.0,0.0,Gen. Defender
9,Dylan Stephens,North Melbourne,22.0,10.0,12.0,0.45,0.55,5.0,1.0,1.0,Midfielder
9,Finn O'Sullivan,North Melbourne,8.0,5.0,3.0,0.62,0.38,1.0,0.0,1.0,Gen. Defender
9,Finnbar Maley,North Melbourne,,,,,,,,,Key Forward
9,George Wardlaw,North Melbourne,19.0,15.0,4.0,0.79,0.21,0.0,1.0,5.0,Midfielder
9,Harry Sheezel,North Melbourne,29.0,18.0,11.0,0.62,0.38,7.0,0.0,3.0,Mid-Forward
9,Jack Darling,North Melbourne,9.0,6.0,3.0,0.67,0.33,3.0,2.0,1.0,Key Forward
9,Jacob Konstanty,North Melbourne,12.0,6.0,6.0,0.5,0.5,4.0,1.0,5.0,Gen. Forward
9,Jy Simpkin,North Melbourne,17.0,11.0,6.0,0.65,0.35,3.0,0.0,3.0,Mid-Forward
9,Luke Davies-Uniacke,North Melbourne,32.0,17.0,15.0,0.53,0.47,3.0,0.0,2.0,Midfielder
9,Luke McDonald,North Melbourne,9.0,3.0,6.0,0.33,0.67,1.0,0.0,1.0,Gen. Defender
9,Luke Parker,North Melbourne,23.0,13.0,10.0,0.57,0.43,4.0,1.0,8.0,Midfielder
9,Nick Larkey,North Melbourne,7.0,6.0,1.0,0.86,0.14,5.0,1.0,1.0,Key Forward
9,Riley Hardeman,North Melbourne,15.0,10.0,5.0,0.67,0.33,4.0,0.0,3.0,Gen. Defender
9,Toby Pink,North Melbourne,6.0,4.0,2.0,0.67,0.33,1.0,0.0,2.0,Key Defender
9,Tom Powell,North Melbourne,16.0,6.0,10.0,0.38,0.62,1.0,0.0,4.0,Midfielder
9,Tristan Xerri,North Melbourne,19.0,10.0,9.0,0.53,0.47,2.0,0.0,8.0,Ruck
9,Zane Duursma,North Melbourne,7.0,4.0,3.0,0.57,0.43,3.0,0.0,1.0,Gen. Forward
10,Aidan Corr,North Melbourne,8.0,6.0,2.0,0.75,0.25,3.0,0.0,3.0,Key Defender
10,Bailey Scott,North Melbourne,5.0,1.0,4.0,0.2,0.8,3.0,0.0,5.0,Midfielder
10,Caleb Daniel,North Melbourne,25.0,16.0,9.0,0.64,0.36,1.0,0.0,2.0,Gen. Defender
10,Cameron Zurhaar,North Melbourne,9.0,7.0,2.0,0.78,0.22,4.0,4.0,2.0,Gen. Forward
10,Charlie Comben,North Melbourne,10.0,7.0,3.0,0.7,0.3,4.0,0.0,2.0,Key Defender
10,Colby McKercher,North Melbourne,22.0,9.0,13.0,0.41,0.59,4.0,1.0,10.0,Gen. Defender
10,Dylan Stephens,North Melbourne,18.0,12.0,6.0,0.67,0.33,3.0,0.0,2.0,Midfielder
10,Finn O'Sullivan,North Melbourne,10.0,6.0,4.0,0.6,0.4,2.0,0.0,4.0,Gen. Defender
10,Finnbar Maley,North Melbourne,,,,,,,,,Key Forward
10,George Wardlaw,North Melbourne,14.0,8.0,6.0,0.57,0.43,2.0,0.0,10.0,Midfielder
10,Harry Sheezel,North Melbourne,20.0,14.0,6.0,0.7,0.3,2.0,0.0,10.0,Mid-Forward
10,Jack Darling,North Melbourne,17.0,13.0,4.0,0.76,0.24,5.0,2.0,2.0,Key Forward
10,Jacob Konstanty,North Melbourne,,,,,,,,,Gen. Forward
10,Jy Simpkin,North Melbourne,20.0,11.0,9.0,0.55,0.45,3.0,0.0,6.0,Mid-Forward
10,Luke Davies-Uniacke,North Melbourne,27.0,11.0,16.0,0.41,0.59,3.0,1.0,5.0,Midfielder
10,Luke McDonald,North Melbourne,8.0,8.0,0.0,1.0,0.0,3.0,0.0,2.0,Gen. Defender
10,Luke Parker,North Melbourne,15.0,7.0,8.0,0.47,0.53,0.0,0.0,1.0,Midfielder
10,Nick Larkey,North Melbourne,10.0,6.0,4.0,0.6,0.4,5.0,2.0,1.0,Key Forward
10,Riley Hardeman,North Melbourne,12.0,10.0,2.0,0.83,0.17,3.0,0.0,0.0,Gen. Defender
10,Toby Pink,North Melbourne,12.0,9.0,3.0,0.75,0.25,6.0,0.0,3.0,Key Defender
10,Tom Powell,North Melbourne,24.0,12.0,12.0,0.5,0.5,4.0,0.0,6.0,Midfielder
10,Tristan Xerri,North Melbourne,19.0,14.0,5.0,0.74,0.26,1.0,0.0,12.0,Ruck
10,Zane Duursma,North Melbourne,,,,,,,,,Gen. Forward
11,Aidan Corr,North Melbourne,14.0,12.0,2.0,0.86,0.14,7.0,0.0,1.0,Key Defender
11,Caleb Daniel,North Melbourne,30.0,21.0,9.0,0.7,0.3,4.0,0.0,1.0,Gen. Defender
11,Cameron Zurhaar,North Melbourne,7.0,7.0,0.0,1.0,0.0,4.0,3.0,4.0,Gen. Forward
11,Charlie Comben,North Melbourne,18.0,15.0,3.0,0.83,0.17,10.0,0.0,0.0,Key Defender
11,Colby McKercher,North Melbourne,13.0,8.0,5.0,0.62,0.38,3.0,0.0,0.0,Gen. Defender
11,Dylan Stephens,North Melbourne,23.0,16.0,7.0,0.7,0.3,12.0,0.0,3.0,Midfielder
11,Finn O'Sullivan,North Melbourne,13.0,13.0,0.0,1.0,0.0,4.0,0.0,1.0,Gen. Defender
11,Finnbar Maley,North Melbourne,,,,,,,,,Key Forward
11,George Wardlaw,North Melbourne,11.0,8.0,3.0,0.73,0.27,1.0,0.0,4.0,Midfielder
11,Harry Sheezel,North Melbourne,20.0,12.0,8.0,0.6,0.4,8.0,0.0,1.0,Mid-Forward
11,Jack Darling,North Melbourne,9.0,6.0,3.0,0.67,0.33,5.0,0.0,1.0,Key Forward
11,Jacob Konstanty,North Melbourne,8.0,7.0,1.0,0.88,0.12,3.0,1.0,6.0,Gen. Forward
11,Jy Simpkin,North Melbourne,23.0,9.0,14.0,0.39,0.61,2.0,1.0,4.0,Mid-Forward
11,Luke Davies-Uniacke,North Melbourne,26.0,14.0,12.0,0.54,0.46,6.0,0.0,4.0,Midfielder
11,Luke McDonald,North Melbourne,18.0,11.0,7.0,0.61,0.39,7.0,0.0,2.0,Gen. Defender
11,Luke Parker,North Melbourne,16.0,8.0,8.0,0.5,0.5,2.0,0.0,2.0,Midfielder
11,Nick Larkey,North Melbourne,9.0,7.0,2.0,0.78,0.22,4.0,1.0,0.0,Key Forward
11,Paul Curtis,North Melbourne,12.0,9.0,3.0,0.75,0.25,5.0,1.0,5.0,Gen. Forward
11,Riley Hardeman,North Melbourne,28.0,20.0,8.0,0.71,0.29,10.0,0.0,0.0,Gen. Defender
11,Toby Pink,North Melbourne,13.0,7.0,6.0,0.54,0.46,7.0,0.0,2.0,Key Defender
11,Tom Powell,North Melbourne,28.0,18.0,10.0,0.64,0.36,5.0,1.0,3.0,Midfielder
11,Tristan Xerri,North Melbourne,17.0,5.0,12.0,0.29,0.71,1.0,1.0,3.0,Ruck
11,Zac Fisher,North Melbourne,,,,,,,,,Gen. Forward
13,Caleb Daniel,North Melbourne,29.0,22.0,7.0,0.76,0.24,4.0,0.0,1.0,Gen. Defender
13,Cameron Zurhaar,North Melbourne,10.0,7.0,3.0,0.7,0.3,6.0,2.0,2.0,Gen. Forward
